hospital_id,treatment_id,availability_status,configuration_type,availability_note
H004,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T004,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T005,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T006,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T007,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T008,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T009,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T011,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T012,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T013,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H004,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T004,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T005,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T006,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T007,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T008,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T009,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T010,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T011,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T012,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T013,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H005,T015,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T004,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T005,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T006,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T007,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T008,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T009,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T011,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T012,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T013,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T014,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H006,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T003,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T004,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T005,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T006,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T007,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T008,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T009,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T011,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T012,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T013,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H007,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T004,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T005,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T006,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T007,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T008,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T009,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T011,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T012,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T013,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H008,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T004,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T005,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T006,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T007,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T008,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T009,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T010,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T011,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T012,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T013,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H009,T015,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T001,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T002,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T003,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T004,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T005,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T006,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T007,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T008,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T009,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T010,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T011,UNAVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T012,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T013,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T014,AVAILABLE,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
H010,T015,LIMITED,SYNTHETIC_PROJECT_CONFIGURATION,Synthetic hospital formulary/availability value for prototype evaluation; not actual hospital inventory data.
