week,symptom_id,symptom_name,baseline_score,baseline_z_max,baseline_deviation_max,baseline_hospitals_elevated,baseline_hospitals_observed,anomaly_score,temporal_score,persistence_score,spatial_score,best_matching_disease_id,b8_pattern_score,objective_a_score,b8_integration_score,severity_score,severe_cases,total_cases,disease_total_cases,raw_risk_score,risk_score,strong_evidence_count,moderate_evidence_count,persistence_support,spatial_support,temporal_support,risk_alert,outbreak_signal,risk_explanation,alert_level,alert_priority,alert_severity,recommended_action,alert_type,alert_status,alert_explanation,alert_id
2026-08-24,S014,Muscle Pain,0.0,-2.502440685714239,-13.098672821696477,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,71.21365481174038,106.0,1460.0,1460.0,20.919848221761058,20.92,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 20.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 20.9. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2).,ALT-20260824-S014-GREEN-0342
2026-08-24,S019,Vomiting,0.0,-0.1868891487024907,-1.378929950358528,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,71.21365481174038,106.0,1460.0,1460.0,20.919848221761058,20.92,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 20.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 20.9. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (71.2).,ALT-20260824-S019-GREEN-0343
2026-08-24,S013,Loss of Smell,6.231607237243784,0.3004270464795249,4.081632653061232,0,10,32.1,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,20.79149727901544,20.79,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 20.8, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 20.8. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).,ALT-20260824-S013-GREEN-0344
2026-08-24,S020,Diarrhoea,0.0,-0.7063784749755478,-3.3016228315612697,0,10,30.0,0.0,0.0,0.0,D008,48.106,42.95,55.84,75.7968771963547,38.0,1076.0,1076.0,20.680131579453203,20.68,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 20.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (48.1); severity burden from disease D008 (75.8).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 20.7. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (48.1); severity burden from disease D008 (75.8).,ALT-20260824-S020-GREEN-0345
2026-08-24,S012,Loss of Taste,3.661116881067496,0.1481868684597175,3.971119133574012,0,10,31.04,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,20.246923725588992,20.25,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 20.2, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 20.2. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).,ALT-20260824-S012-GREEN-0346
2026-08-24,S015,Joint Pain,0.0,-0.7714691056306098,-6.348281887012237,0,10,30.0,0.0,0.0,0.0,D001,50.532,48.56,53.49,71.21365481174038,106.0,1460.0,1460.0,20.235248221761054,20.24,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 20.2, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (50.5); severity burden from disease D001 (71.2).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 20.2. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (50.5); severity burden from disease D001 (71.2).,ALT-20260824-S015-GREEN-0347
2026-08-24,S003,Fatigue,0.0,-0.8982525473879207,-6.372549019607843,0,10,30.0,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,19.54175619342887,19.54,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 19.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 19.5. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).,ALT-20260824-S003-GREEN-0348
2026-08-24,S006,Dry Cough,0.0,-1.245977988268172,-6.395182104961279,0,10,30.0,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,19.54175619342887,19.54,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 19.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 19.5. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).,ALT-20260824-S006-GREEN-0349
2026-08-24,S008,Sore Throat,0.0,-1.5700124281005683,-8.571428571428571,0,10,30.0,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,63.52770795619247,70.0,1216.0,1216.0,19.54175619342887,19.54,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 19.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 19.5. The signal remains within routine surveillance conditions. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (63.5).,ALT-20260824-S008-GREEN-0350
2026-08-24,S009,Runny Nose,11.185109630337452,0.5877732444869138,4.62962962962963,0,10,34.11,10.13,2.7,0.0,,0.0,,,0.0,0.0,,0.0,8.718766444550617,8.72,0,0,False,False,False,GREEN,False,"Composite outbreak-risk score is 8.7, producing a GREEN alert. No major corroborating outbreak signals were detected.",GREEN,ROUTINE,0,Continue routine surveillance and periodic review.,ROUTINE_SURVEILLANCE,ROUTINE,B11 classified this signal as GREEN with a composite risk score of 8.7. The signal remains within routine surveillance conditions. No major abnormal supporting evidence was identified.,ALT-20260824-S009-GREEN-0351
