symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,inference_category,signal_type,objective_a_score,objective_a_category_boost,objective_a_component_score,objective_a_confidence,objective_a_alert,b2_current_cases,b2_growth_rate,b2_incidence_proportion,b2_hospitals_observed,b2_component_symptoms_observed,b2_incidence_score,b3_max_z_score,b3_max_deviation_percent,b3_elevated_hospitals,b3_abnormal_hospitals,b3_baseline_score,b5_growth_acceleration,b5_change_points,b5_exponential_growth,b5_temporal_score,b6_max_consecutive_weeks,b6_cross_hospital_consecutive_weeks,b6_elevated_hospitals,b6_persistence_score,b7_affected_hospitals,b7_newly_affected_hospitals,b7_propagation_edges,b7_affected_regions,b7_spatial_score,epidemiological_evidence_score,b8_integration_score,b8_alert,b8_integration_signal,objective_a_explanation,b8_explanation
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,46.76,0.0,46.76,95.55,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,52.33,YELLOW,True,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 46.8/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 46.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the pattern warrants continued surveillance.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,47.06,0.0,47.06,85.63,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.307,13.68,0,0,9.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.55,0.0,0.0,0.0,0.0,0.0,12.97,52.25,YELLOW,True,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 47.1/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 47.1. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.31. with a maximum deviation of 13.7%. combined epidemiological corroboration score is 13.0. the pattern warrants continued surveillance.
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,39.91,0.0,39.91,91.03,LOW,6436.0,-14.8886,0.854692,10,6,40.0,1.322,89.47,0,2,51.07,0.0,0.0,0.0,0.0,10.0,6.0,3.0,30.0,1.0,1.0,2.0,1.0,13.0,29.22,51.6,GREEN,False,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.9/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 39.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=1.32. with a maximum deviation of 89.5%. persistence reaches 10 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. 1 hospital(s) are newly affected. 2 propagation edge(s) are present. combined epidemiological corroboration score is 29.2. the available evidence does not currently support an elevated integrated surveillance alert.
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,WIDESPREAD_KNOWN_DISEASE_PATTERN,46.71,0.0,46.71,89.5,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.3,4.08,0,0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,51.38,YELLOW,True,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 46.7/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 46.7. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 11.7. the pattern warrants continued surveillance.
Fever + Headache + Joint Pain + Muscle Pain + Nausea,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,45.64,0.0,45.64,94.71,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,50.96,YELLOW,True,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 45.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.3. the pattern warrants continued surveillance.
Fever + Headache + Muscle Pain + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,45.55,0.0,45.55,92.3,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,50.48,YELLOW,True,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.5/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 45.5. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the pattern warrants continued surveillance.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,44.36,0.0,44.36,83.96,LOW,6436.0,-14.8886,0.854692,10,9,40.0,0.629,17.07,0,0,16.65,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,14.8,50.28,GREEN,False,"The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.4/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 44.4. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 17.1%. combined epidemiological corroboration score is 14.8. the available evidence does not currently support an elevated integrated surveillance alert.
Diarrhoea + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,45.57,0.0,45.57,90.47,LOW,6436.0,-14.8886,0.854692,10,4,40.0,-0.06,-0.87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,10.67,49.84,YELLOW,True,The pattern is consistent with the expected presentation of Typhoid Fever. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 45.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. combined epidemiological corroboration score is 10.7. the pattern warrants continued surveillance.
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,44.1,0.0,44.1,97.67,LOW,6436.0,-14.8886,0.854692,10,4,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,49.81,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 44.1/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 44.1. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,44.84,0.0,44.84,95.24,LOW,6436.0,-14.8886,0.854692,10,4,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,49.77,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 44.8/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 44.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,44.23,0.0,44.23,84.87,LOW,6436.0,-14.8886,0.854692,10,7,40.0,0.337,17.07,0,0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.47,49.62,GREEN,False,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.2/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 44.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.34. with a maximum deviation of 17.1%. combined epidemiological corroboration score is 13.5. the available evidence does not currently support an elevated integrated surveillance alert.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,44.05,0.0,44.05,83.92,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.307,13.68,0,0,9.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.55,0.0,0.0,0.0,0.0,0.0,12.97,49.24,GREEN,False,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.0/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 44.0. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.31. with a maximum deviation of 13.7%. combined epidemiological corroboration score is 13.0. the available evidence does not currently support an elevated integrated surveillance alert.
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,38.64,0.0,38.64,90.54,LOW,6436.0,-14.8886,0.854692,10,5,40.0,1.322,28.57,0,1,32.8,0.0,0.0,0.0,0.0,6.0,5.0,3.0,30.0,1.0,0.0,0.0,1.0,3.0,23.15,47.9,GREEN,False,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 38.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 38.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=1.32. with a maximum deviation of 28.6%. persistence reaches 6 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. combined epidemiological corroboration score is 23.1. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,41.79,0.0,41.79,97.89,LOW,6436.0,-14.8886,0.854692,10,4,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,47.5,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.8/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 41.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,41.18,0.0,41.18,92.56,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,46.89,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 41.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,41.94,0.0,41.94,88.21,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,46.87,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.9/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 41.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Muscle Pain + Nausea + Rash,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,41.19,0.0,41.19,89.75,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,46.76,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 41.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,41.0,0.0,41.0,93.93,LOW,6436.0,-14.8886,0.854692,10,3,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,46.71,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.0/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 41.0. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,41.9,0.0,41.9,89.57,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.3,4.08,0,0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,46.57,GREEN,False,"The pattern is consistent with the expected presentation of COVID-19. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 41.9/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 41.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 11.7. the available evidence does not currently support an elevated integrated surveillance alert.
