week,symptom_id,symptom_name,affected_hospitals,total_hospitals,total_cases,hospital_coverage,affected_regions,geographic_cases,affected_cities,newly_affected_hospitals,propagation_edges,source_hospitals,target_hospitals,same_city_edges,same_region_edges,cross_region_edges,spatial_propagation_score,spatial_alert,spatial_propagation_signal
2026-06-01,S018,Nausea,0,10,1214,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S019,Vomiting,0,10,1622,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S020,Diarrhoea,0,10,1266,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S021,Abdominal Pain,0,10,872,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S022,Loss of Appetite,0,10,316,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S023,Weight Loss,0,10,40,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S024,Night Sweats,0,10,91,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S025,Bleeding,0,10,26,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S026,Anaemia,0,10,21,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-01,S027,Dehydration,0,9,30,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S027,Dehydration,7,9,50,0.7777777777777778,7.0,46.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,73.33,ORANGE,True
2026-06-08,S025,Bleeding,6,10,31,0.6,6.0,25.0,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,68.0,ORANGE,True
2026-06-08,S026,Anaemia,5,10,26,0.5,4.0,17.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,ORANGE,True
2026-06-08,S007,Persistent Cough,5,10,275,0.5,4.0,128.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,54.0,YELLOW,True
2026-06-08,S010,Breathlessness,5,10,99,0.5,5.0,62.0,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,53.0,YELLOW,True
2026-06-08,S022,Loss of Appetite,4,10,336,0.4,4.0,148.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,39.0,YELLOW,True
2026-06-08,S024,Night Sweats,4,10,93,0.4,4.0,48.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,39.0,YELLOW,True
2026-06-08,S012,Loss of Taste,3,10,266,0.3,3.0,93.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,37.0,YELLOW,True
2026-06-08,S013,Loss of Smell,3,10,282,0.3,3.0,97.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,37.0,YELLOW,True
2026-06-08,S009,Runny Nose,5,10,1442,0.5,5.0,757.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,YELLOW,True
2026-06-08,S023,Weight Loss,3,10,39,0.3,3.0,21.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,31.0,GREEN,False
2026-06-08,S018,Nausea,3,10,1169,0.3,3.0,372.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,GREEN,False
2026-06-08,S014,Muscle Pain,3,10,3517,0.3,3.0,851.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,GREEN,False
2026-06-08,S015,Joint Pain,3,10,1535,0.3,3.0,388.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,GREEN,False
2026-06-08,S017,Rash,3,10,475,0.3,3.0,159.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,GREEN,False
2026-06-08,S011,Chest Pain,2,8,19,0.25,2.0,7.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,18.5,GREEN,False
2026-06-08,S006,Dry Cough,2,10,3657,0.2,2.0,762.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-08,S016,Retro-orbital Pain,2,10,1153,0.2,2.0,206.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-08,S021,Abdominal Pain,2,10,861,0.2,2.0,184.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-08,S008,Sore Throat,1,10,2334,0.1,1.0,295.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-08,S001,Fever,0,10,7528,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S002,Headache,0,10,3771,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S003,Fatigue,0,10,1719,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S004,Chills,0,10,1068,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S005,Sweating,0,10,1068,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S019,Vomiting,0,10,1576,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-08,S020,Diarrhoea,0,10,1259,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S024,Night Sweats,5,10,108,0.5,5.0,56.0,5.0,5,18.0,4.0,5.0,1.0,0.0,17.0,85.0,ORANGE,True
2026-06-15,S023,Weight Loss,4,10,52,0.4,4.0,30.0,4.0,4,11.0,3.0,4.0,0.0,0.0,11.0,71.0,ORANGE,True
2026-06-15,S021,Abdominal Pain,6,10,973,0.6,6.0,587.0,6.0,3,6.0,2.0,3.0,0.0,0.0,6.0,68.0,ORANGE,True
2026-06-15,S007,Persistent Cough,5,10,290,0.5,5.0,157.0,5.0,2,9.0,5.0,2.0,0.0,0.0,9.0,65.0,ORANGE,True
2026-06-15,S025,Bleeding,3,7,27,0.42857142857142855,3.0,14.0,3.0,3,10.0,4.0,3.0,0.0,0.0,10.0,60.86,YELLOW,True
2026-06-15,S026,Anaemia,3,8,23,0.375,3.0,14.0,3.0,3,10.0,4.0,3.0,0.0,0.0,10.0,59.25,YELLOW,True
2026-06-15,S022,Loss of Appetite,4,10,343,0.4,4.0,148.0,4.0,2,8.0,4.0,2.0,0.0,0.0,8.0,55.0,ORANGE,True
2026-06-15,S011,Chest Pain,3,10,27,0.3,3.0,13.0,3.0,3,5.0,2.0,3.0,0.0,0.0,5.0,47.0,YELLOW,True
2026-06-15,S027,Dehydration,2,10,47,0.2,2.0,16.0,2.0,2,13.0,7.0,2.0,0.0,0.0,13.0,43.0,YELLOW,True
2026-06-15,S017,Rash,2,10,483,0.2,2.0,110.0,2.0,2,6.0,3.0,2.0,0.0,0.0,6.0,35.0,YELLOW,True
2026-06-15,S020,Diarrhoea,4,10,1346,0.4,4.0,532.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,GREEN,False
2026-06-15,S003,Fatigue,2,10,1737,0.2,2.0,383.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,GREEN,False
2026-06-15,S018,Nausea,2,10,1263,0.2,2.0,305.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-15,S019,Vomiting,2,10,1678,0.2,2.0,312.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-15,S004,Chills,1,10,1111,0.1,1.0,114.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,GREEN,False
2026-06-15,S005,Sweating,1,10,1111,0.1,1.0,114.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,GREEN,False
2026-06-15,S012,Loss of Taste,1,10,262,0.1,1.0,44.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-15,S013,Loss of Smell,1,10,256,0.1,1.0,44.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-15,S016,Retro-orbital Pain,1,10,1137,0.1,1.0,178.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-15,S001,Fever,0,10,7416,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S002,Headache,0,10,3759,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S006,Dry Cough,0,10,3586,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S008,Sore Throat,0,10,2314,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S009,Runny Nose,0,10,1371,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S010,Breathlessness,0,10,92,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S014,Muscle Pain,0,10,3384,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-15,S015,Joint Pain,0,10,1408,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-22,S027,Dehydration,5,10,56,0.5,5.0,37.0,5.0,5,9.0,2.0,5.0,0.0,0.0,9.0,83.0,ORANGE,True
2026-06-22,S023,Weight Loss,4,10,46,0.4,3.0,26.0,3.0,4,15.0,4.0,4.0,0.0,0.0,15.0,66.0,ORANGE,True
2026-06-22,S025,Bleeding,4,10,35,0.4,4.0,20.0,4.0,3,13.0,5.0,3.0,0.0,0.0,13.0,65.0,ORANGE,True
2026-06-22,S012,Loss of Taste,4,10,321,0.4,4.0,125.0,4.0,3,3.0,1.0,3.0,0.0,0.0,3.0,51.0,YELLOW,True
2026-06-22,S024,Night Sweats,3,10,102,0.3,3.0,35.0,3.0,2,9.0,5.0,2.0,1.0,0.0,8.0,49.0,YELLOW,True
2026-06-22,S007,Persistent Cough,2,10,270,0.2,2.0,65.0,2.0,2,9.0,5.0,2.0,0.0,0.0,9.0,41.0,YELLOW,True
2026-06-22,S017,Rash,3,10,495,0.3,3.0,157.0,3.0,2,4.0,2.0,2.0,0.0,0.0,4.0,39.0,YELLOW,True
2026-06-22,S022,Loss of Appetite,2,10,315,0.2,2.0,80.0,2.0,2,8.0,4.0,2.0,0.0,0.0,8.0,39.0,YELLOW,True
2026-06-22,S026,Anaemia,2,7,20,0.2857142857142857,2.0,12.0,2.0,2,6.0,3.0,2.0,1.0,0.0,5.0,37.57,YELLOW,True
2026-06-22,S009,Runny Nose,4,10,1402,0.4,4.0,572.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33.0,GREEN,False
2026-06-22,S010,Breathlessness,3,10,99,0.3,3.0,36.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,31.0,GREEN,False
2026-06-22,S013,Loss of Smell,2,10,307,0.2,2.0,67.0,2.0,2,2.0,1.0,2.0,1.0,0.0,1.0,27.0,GREEN,False
2026-06-22,S011,Chest Pain,2,9,26,0.2222222222222222,2.0,8.0,2.0,1,3.0,3.0,1.0,0.0,0.0,3.0,23.67,GREEN,False
2026-06-22,S015,Joint Pain,2,10,1529,0.2,2.0,413.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,GREEN,False
2026-06-22,S016,Retro-orbital Pain,3,10,1226,0.3,2.0,323.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,GREEN,False
2026-06-22,S004,Chills,2,10,1118,0.2,2.0,305.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S005,Sweating,2,10,1118,0.2,2.0,305.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S006,Dry Cough,2,10,3696,0.2,2.0,649.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S014,Muscle Pain,2,10,3571,0.2,2.0,664.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S018,Nausea,2,10,1177,0.2,2.0,219.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S019,Vomiting,2,10,1637,0.2,2.0,293.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S020,Diarrhoea,2,10,1275,0.2,2.0,292.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S021,Abdominal Pain,2,10,906,0.2,2.0,217.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-22,S001,Fever,1,10,7712,0.1,1.0,577.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-22,S003,Fatigue,1,10,1845,0.1,1.0,204.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-22,S008,Sore Throat,1,10,2369,0.1,1.0,162.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-22,S002,Headache,0,10,3903,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S024,Night Sweats,4,10,109,0.4,4.0,51.0,4.0,2,6.0,3.0,2.0,1.0,0.0,5.0,51.0,YELLOW,True
2026-06-29,S011,Chest Pain,3,10,25,0.3,3.0,11.0,3.0,3,6.0,2.0,3.0,0.0,0.0,6.0,49.0,YELLOW,True
2026-06-29,S022,Loss of Appetite,3,10,335,0.3,3.0,148.0,3.0,3,6.0,2.0,3.0,0.0,0.0,6.0,49.0,YELLOW,True
2026-06-29,S023,Weight Loss,3,10,47,0.3,3.0,19.0,3.0,2,7.0,4.0,2.0,0.0,0.0,7.0,45.0,YELLOW,True
2026-06-29,S010,Breathlessness,3,10,92,0.3,3.0,36.0,3.0,2,5.0,3.0,2.0,0.0,0.0,5.0,41.0,YELLOW,True
2026-06-29,S025,Bleeding,2,10,39,0.2,2.0,14.0,2.0,2,8.0,4.0,2.0,0.0,0.0,8.0,39.0,YELLOW,True
2026-06-29,S026,Anaemia,2,10,24,0.2,2.0,8.0,2.0,2,6.0,3.0,2.0,0.0,0.0,6.0,35.0,YELLOW,True
2026-06-29,S007,Persistent Cough,3,10,301,0.3,3.0,99.0,3.0,1,2.0,2.0,1.0,0.0,0.0,2.0,29.0,GREEN,False
2026-06-29,S017,Rash,2,10,489,0.2,2.0,111.0,2.0,1,3.0,3.0,1.0,0.0,0.0,3.0,23.0,GREEN,False
2026-06-29,S027,Dehydration,1,10,49,0.1,1.0,11.0,1.0,1,4.0,4.0,1.0,0.0,0.0,4.0,17.0,GREEN,False
2026-06-29,S012,Loss of Taste,2,10,279,0.2,2.0,58.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-06-29,S003,Fatigue,1,10,1815,0.1,1.0,146.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-29,S008,Sore Throat,1,10,2365,0.1,1.0,168.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-29,S009,Runny Nose,1,10,1359,0.1,1.0,94.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-29,S015,Joint Pain,1,10,1493,0.1,1.0,153.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-06-29,S001,Fever,0,10,7599,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S002,Headache,0,10,3812,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S004,Chills,0,10,1146,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S005,Sweating,0,10,1146,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S006,Dry Cough,0,10,3614,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S013,Loss of Smell,0,10,289,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S014,Muscle Pain,0,10,3459,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S016,Retro-orbital Pain,0,10,1182,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S018,Nausea,0,10,1137,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S019,Vomiting,0,10,1577,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S020,Diarrhoea,0,10,1220,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-06-29,S021,Abdominal Pain,0,10,835,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S025,Bleeding,4,10,40,0.4,4.0,24.0,4.0,4,8.0,2.0,4.0,1.0,0.0,7.0,67.0,ORANGE,True
2026-07-06,S010,Breathlessness,3,10,101,0.3,3.0,38.0,3.0,3,9.0,3.0,3.0,0.0,0.0,9.0,55.0,YELLOW,True
2026-07-06,S011,Chest Pain,3,8,22,0.375,3.0,12.0,3.0,3,5.0,2.0,3.0,0.0,0.0,5.0,49.25,YELLOW,True
2026-07-06,S012,Loss of Taste,3,10,304,0.3,3.0,118.0,3.0,3,6.0,2.0,3.0,0.0,0.0,6.0,49.0,YELLOW,True
2026-07-06,S024,Night Sweats,2,10,88,0.2,2.0,28.0,2.0,1,4.0,4.0,1.0,0.0,0.0,4.0,25.0,GREEN,False
2026-07-06,S013,Loss of Smell,2,10,304,0.2,2.0,81.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,23.0,GREEN,False
2026-07-06,S004,Chills,3,10,1182,0.3,3.0,366.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,GREEN,False
2026-07-06,S005,Sweating,3,10,1182,0.3,3.0,366.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,GREEN,False
2026-07-06,S007,Persistent Cough,1,10,269,0.1,1.0,45.0,1.0,1,3.0,3.0,1.0,0.0,0.0,3.0,15.0,GREEN,False
2026-07-06,S022,Loss of Appetite,1,10,338,0.1,1.0,47.0,1.0,1,3.0,3.0,1.0,0.0,0.0,3.0,15.0,GREEN,False
2026-07-06,S023,Weight Loss,1,10,34,0.1,1.0,6.0,1.0,1,3.0,3.0,1.0,0.0,0.0,3.0,15.0,GREEN,False
2026-07-06,S009,Runny Nose,2,10,1458,0.2,2.0,293.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-07-06,S015,Joint Pain,1,10,1447,0.1,1.0,183.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-06,S018,Nausea,1,10,1172,0.1,1.0,109.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-06,S001,Fever,0,10,7521,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S002,Headache,0,10,3914,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S003,Fatigue,0,10,1758,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S006,Dry Cough,0,10,3599,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S008,Sore Throat,0,10,2296,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S014,Muscle Pain,0,10,3435,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S016,Retro-orbital Pain,0,10,1119,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S017,Rash,0,10,459,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S019,Vomiting,0,10,1549,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S020,Diarrhoea,0,10,1214,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S021,Abdominal Pain,0,10,845,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S026,Anaemia,0,8,13,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-06,S027,Dehydration,0,10,33,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-13,S026,Anaemia,4,9,25,0.4444444444444444,4.0,17.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,52.33,YELLOW,True
2026-07-13,S025,Bleeding,2,10,32,0.2,2.0,9.0,2.0,2,8.0,4.0,2.0,0.0,0.0,8.0,39.0,YELLOW,True
2026-07-13,S022,Loss of Appetite,3,10,350,0.3,3.0,122.0,3.0,2,2.0,1.0,2.0,0.0,0.0,2.0,35.0,YELLOW,True
2026-07-13,S016,Retro-orbital Pain,4,10,1211,0.4,4.0,544.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33.0,GREEN,False
2026-07-13,S018,Nausea,3,10,1225,0.3,3.0,391.0,3.0,1,1.0,1.0,1.0,0.0,0.0,1.0,27.0,GREEN,False
2026-07-13,S012,Loss of Taste,2,10,244,0.2,2.0,51.0,2.0,1,3.0,3.0,1.0,0.0,0.0,3.0,23.0,GREEN,False
2026-07-13,S017,Rash,2,10,478,0.2,2.0,111.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,GREEN,False
2026-07-13,S009,Runny Nose,2,10,1407,0.2,2.0,385.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-07-13,S015,Joint Pain,2,10,1538,0.2,2.0,320.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,GREEN,False
2026-07-13,S021,Abdominal Pain,1,10,901,0.1,1.0,131.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,GREEN,False
2026-07-13,S027,Dehydration,1,10,46,0.1,1.0,7.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,GREEN,False
2026-07-13,S004,Chills,1,10,1097,0.1,1.0,167.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-13,S005,Sweating,1,10,1097,0.1,1.0,167.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-13,S010,Breathlessness,1,10,76,0.1,1.0,12.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-13,S013,Loss of Smell,1,10,251,0.1,1.0,25.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-13,S020,Diarrhoea,1,10,1274,0.1,1.0,170.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-13,S024,Night Sweats,1,10,83,0.1,1.0,13.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GREEN,False
2026-07-13,S001,Fever,0,10,7591,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
2026-07-13,S002,Headache,0,10,3868,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GREEN,False
