alert_id,week,symptom_id,symptom_name,alert_level,alert_priority,alert_status,risk_score,primary_drivers,weak_or_missing_evidence,weighted_evidence_breakdown,detailed_explanation,recommended_action
ALT-20260824-S018-GREEN-0335,2026-08-24,S018,Nausea,GREEN,ROUTINE,ROUTINE,23.4,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.74; anomaly=5.16; baseline=1.82; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 23.4. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S026-GREEN-0336,2026-08-24,S026,Anaemia,GREEN,ROUTINE,ROUTINE,22.45,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.73; anomaly=4.22; objective_a=4.19; baseline=3.32; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 22.4. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D002.",Continue routine surveillance and periodic review.
ALT-20260824-S016-GREEN-0337,2026-08-24,S016,Retro-orbital Pain,GREEN,ROUTINE,ROUTINE,22.14,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=4.68; anomaly=4.50; temporal=1.80; persistence=0.48; baseline=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 22.1. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S004-GREEN-0338,2026-08-24,S004,Chills,GREEN,ROUTINE,ROUTINE,21.66,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.73; anomaly=4.50; objective_a=4.19; temporal=1.77; persistence=0.47; baseline=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 21.7. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D002.",Continue routine surveillance and periodic review.
ALT-20260824-S005-GREEN-0339,2026-08-24,S005,Sweating,GREEN,ROUTINE,ROUTINE,21.66,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.73; anomaly=4.50; objective_a=4.19; temporal=1.77; persistence=0.47; baseline=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 21.7. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D002.",Continue routine surveillance and periodic review.
ALT-20260824-S001-GREEN-0340,2026-08-24,S001,Fever,GREEN,ROUTINE,ROUTINE,20.92,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.9. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S002-GREEN-0341,2026-08-24,S002,Headache,GREEN,ROUTINE,ROUTINE,20.92,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.9. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S014-GREEN-0342,2026-08-24,S014,Muscle Pain,GREEN,ROUTINE,ROUTINE,20.92,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.9. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S019-GREEN-0343,2026-08-24,S019,Vomiting,GREEN,ROUTINE,ROUTINE,20.92,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.74; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.9. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S013-GREEN-0344,2026-08-24,S013,Loss of Smell,GREEN,ROUTINE,ROUTINE,20.79,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=9.53; objective_a=5.51; anomaly=4.82; baseline=0.93; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.8. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",Continue routine surveillance and periodic review.
ALT-20260824-S020-GREEN-0345,2026-08-24,S020,Diarrhoea,GREEN,ROUTINE,ROUTINE,20.68,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=11.37; objective_a=4.81; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.7. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D008.",Continue routine surveillance and periodic review.
ALT-20260824-S012-GREEN-0346,2026-08-24,S012,Loss of Taste,GREEN,ROUTINE,ROUTINE,20.25,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=9.53; objective_a=5.51; anomaly=4.66; baseline=0.55; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.2. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",Continue routine surveillance and periodic review.
ALT-20260824-S015-GREEN-0347,2026-08-24,S015,Joint Pain,GREEN,ROUTINE,ROUTINE,20.24,Severity burden,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=10.68; objective_a=5.05; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 20.2. Primary risk drivers: Severity burden. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D001.",Continue routine surveillance and periodic review.
ALT-20260824-S003-GREEN-0348,2026-08-24,S003,Fatigue,GREEN,ROUTINE,ROUTINE,19.54,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=9.53; objective_a=5.51; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 19.5. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",Continue routine surveillance and periodic review.
ALT-20260824-S006-GREEN-0349,2026-08-24,S006,Dry Cough,GREEN,ROUTINE,ROUTINE,19.54,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=9.53; objective_a=5.51; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 19.5. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",Continue routine surveillance and periodic review.
ALT-20260824-S008-GREEN-0350,2026-08-24,S008,Sore Throat,GREEN,ROUTINE,ROUTINE,19.54,Severity burden; Objective A emerging/atypical signal,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation,severity=9.53; objective_a=5.51; anomaly=4.50; baseline=0.00; temporal=0.00; persistence=0.00; spatial=0.00,"Alert level: GREEN. Composite risk score: 19.5. Primary risk drivers: Severity burden, Objective A emerging/atypical signal. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation. The associated disease is D005.",Continue routine surveillance and periodic review.
ALT-20260824-S009-GREEN-0351,2026-08-24,S009,Runny Nose,GREEN,ROUTINE,ROUTINE,8.72,Statistical anomaly,Historical baseline; Statistical anomaly; Temporal acceleration; Persistence; Spatial propagation; Objective A; Severity burden,anomaly=5.12; baseline=1.68; temporal=1.52; persistence=0.40; spatial=0.00; objective_a=0.00; severity=0.00,"Alert level: GREEN. Composite risk score: 8.7. Primary risk drivers: Statistical anomaly. Weaker or missing corroboration: Historical baseline, Statistical anomaly, Temporal acceleration, Persistence, Spatial propagation, Objective A, Severity burden. No specific disease association was available.",Continue routine surveillance and periodic review.
