week,symptom_id,symptom_name,current_cases,hospitals_observed,persistent_hospitals,maximum_consecutive_abnormal_weeks,maximum_total_abnormal_weeks,average_z_score,maximum_z_score,average_deviation_percent,elevated_hospitals,b5_signal,temporal_acceleration_score,cross_hospital_persistent,cross_hospital_consecutive_weeks,persistence_score,persistence_alert,persistent_outbreak_signal
2026-06-29,S001,Fever,7599,10,8,2,3,0.412529516089699,1.727754361920448,0.7731491657420119,7,False,0.0,True,1,30.19,GREEN,False
2026-06-29,S010,Breathlessness,92,10,10,2,3,0.481216776052902,4.438980226870294,-0.8414777724844609,4,False,0.35,True,1,30.0,GREEN,False
2026-06-29,S006,Dry Cough,3614,10,3,4,4,0.12423365468421199,2.251940297371412,0.14724623729840483,6,False,0.0,True,3,27.54,GREEN,False
2026-06-29,S022,Loss of Appetite,335,10,2,4,4,0.6630296506148856,7.1030549646267325,0.658352479636493,4,False,7.97,True,1,27.29,GREEN,False
2026-06-29,S009,Runny Nose,1359,10,4,3,3,-0.33133063183276923,1.656472891122698,-1.480757283223085,4,False,0.0,True,1,25.0,GREEN,False
2026-06-29,S020,Diarrhoea,1220,10,3,3,3,-1.0538472595338266,0.813733471206735,-5.515724042241532,2,False,0.22,True,3,22.56,GREEN,False
2026-06-29,S014,Muscle Pain,3459,10,5,2,3,-0.31661301163588007,2.274004575698253,-1.3517582507182417,2,False,0.0,True,1,22.5,GREEN,False
2026-06-29,S019,Vomiting,1577,10,3,3,3,-0.5483952119360507,1.1650513434043848,-3.7401419910073352,4,False,0.0,True,3,22.5,GREEN,False
2026-06-29,S004,Chills,1146,10,2,3,3,0.24993381715935353,0.8521325328823184,3.6742558631470517,7,False,3.31,True,1,21.8,GREEN,False
2026-06-29,S005,Sweating,1146,10,2,3,3,0.24993381715935353,0.8521325328823184,3.6742558631470517,7,False,3.31,True,1,21.8,GREEN,False
2026-06-29,S018,Nausea,1137,10,2,3,3,-0.6538290632619695,0.7444638346102761,-5.184880950152395,2,False,0.95,True,1,20.25,GREEN,False
2026-06-29,S016,Retro-orbital Pain,1182,10,4,2,3,-0.2688321660271135,1.252012597789534,-0.48293496704936556,5,False,0.0,True,1,20.0,GREEN,False
2026-06-29,S021,Abdominal Pain,835,10,2,3,3,-0.7782052466043325,0.7262040090592468,-8.64143408096972,3,False,0.0,True,3,20.0,GREEN,False
2026-06-29,S003,Fatigue,1815,10,3,2,3,0.058174918289798115,1.8655370462689176,2.6329771600701486,7,False,0.0,True,1,18.16,GREEN,False
2026-06-29,S017,Rash,489,10,3,2,3,-2.7813532064768975,1.2997603954770751,0.08183098123697459,5,False,0.18,True,1,17.57,GREEN,False
2026-06-29,S015,Joint Pain,1493,10,3,2,3,-0.013878959207546027,3.517169590410852,0.24480470302627025,5,False,0.0,True,1,17.56,GREEN,False
2026-06-29,S002,Headache,3812,10,2,2,3,-0.37330141754080726,2.089373536621037,-0.781497633581064,2,False,0.0,True,1,15.0,GREEN,False
2026-07-06,S011,Chest Pain,22,8,8,5,5,0.23190541255361236,2.0083160441856096,26.056322150072152,4,False,27.46,True,4,63.84,ORANGE,True
2026-07-06,S025,Bleeding,40,10,10,5,5,0.5202170618806423,2.7701415506299165,38.86048162363952,6,False,11.77,True,4,62.85,ORANGE,True
2026-07-06,S012,Loss of Taste,304,10,10,5,5,0.3151884270668213,2.3845875802994514,8.353590146584793,6,False,11.78,True,2,55.23,YELLOW,True
2026-07-06,S013,Loss of Smell,304,10,10,5,5,0.7378862667937497,6.857556923316182,6.388925886163183,6,False,5.09,True,2,52.95,YELLOW,True
2026-07-06,S022,Loss of Appetite,338,10,10,5,5,0.22072043552395293,1.3372491518477951,3.1044467963173994,5,False,2.81,True,2,51.53,YELLOW,True
2026-07-06,S006,Dry Cough,3599,10,10,5,5,-0.2566079926599056,1.1151821580359371,0.008273465630460209,7,False,0.58,True,4,50.16,YELLOW,True
2026-07-06,S009,Runny Nose,1458,10,10,4,4,0.8282954654102801,3.3993463423951917,5.68666078823925,8,False,6.1,True,2,48.05,YELLOW,True
2026-07-06,S004,Chills,1182,10,10,4,4,0.8576489550567563,3.653728591496754,5.280414883682946,7,False,1.12,True,2,46.62,YELLOW,True
2026-07-06,S005,Sweating,1182,10,10,4,4,0.8576489550567563,3.653728591496754,5.280414883682946,7,False,1.12,True,2,46.62,YELLOW,True
2026-07-06,S010,Breathlessness,101,10,10,3,4,-0.0632362029229531,1.7143892308290465,5.455894525884675,5,False,14.08,True,2,45.12,YELLOW,True
2026-07-06,S002,Headache,3914,10,10,3,4,0.4123674908569461,1.1570396111137384,2.158007317758984,7,False,2.73,True,2,41.27,YELLOW,True
2026-07-06,S001,Fever,7521,10,10,3,4,-0.33756147284354476,1.6976993213033236,-0.462134365759684,5,False,0.08,True,2,30.0,GREEN,False
2026-07-06,S003,Fatigue,1758,10,10,3,4,-0.2722711581819372,0.8059682475959332,-1.3671317485583854,4,False,0.0,True,2,30.0,GREEN,False
2026-07-06,S007,Persistent Cough,269,10,10,5,5,-0.2875259995469266,3.17710705148408,-5.007381918714673,3,False,0.0,True,2,30.0,GREEN,False
2026-07-06,S008,Sore Throat,2296,10,10,5,5,-0.5922541300738132,1.590990257669732,-1.265875755696597,3,False,0.0,True,2,30.0,GREEN,False
2026-07-06,S014,Muscle Pain,3435,10,10,3,4,-0.301490327955865,1.7979158631475616,-1.9491544784765076,3,False,0.72,True,2,30.0,GREEN,False
2026-07-06,S015,Joint Pain,1447,10,10,3,4,-0.5778279136200669,1.4075157116241714,-3.7302647300587752,3,False,0.0,True,2,30.0,GREEN,False
2026-07-06,S017,Rash,459,10,10,3,4,-0.4474145195100358,0.8959840715358683,-5.601877763167576,3,False,0.0,True,2,30.0,GREEN,False
2026-07-06,S018,Nausea,1172,10,10,4,4,-0.20024252616784163,1.5284204639008356,-1.047097131738394,4,False,3.4,True,2,30.0,GREEN,False
2026-07-06,S023,Weight Loss,34,10,10,5,5,-0.49407892561166644,1.1293678311839803,-21.197981586427552,2,False,0.0,True,4,30.0,GREEN,False
2026-07-06,S024,Night Sweats,88,10,10,5,5,-0.4517248414755424,4.034466888812334,-10.515836150888443,3,False,0.0,True,4,30.0,GREEN,False
2026-07-06,S026,Anaemia,13,8,8,5,5,-0.4108323779618095,0.9203579866168444,-18.50103021978022,2,False,3.92,True,4,30.0,GREEN,False
2026-07-06,S027,Dehydration,33,10,10,5,5,-0.470536693660803,0.7302967433402213,-26.306475387357743,2,False,0.0,True,4,30.0,GREEN,False
2026-07-06,S021,Abdominal Pain,845,10,0,0,3,-0.49866186015057556,0.3288326927328338,-5.112109906509934,2,False,5.06,False,0,1.35,GREEN,False
2026-07-06,S020,Diarrhoea,1214,10,0,0,3,-0.7180885750558696,0.4985415622798052,-4.696692099189695,2,False,1.36,False,0,0.36,GREEN,False
2026-07-06,S019,Vomiting,1549,10,0,0,3,-0.8182856646456692,0.5934424260562089,-3.9395574480741162,1,False,1.21,False,0,0.32,GREEN,False
2026-07-06,S016,Retro-orbital Pain,1119,10,0,0,3,-0.4914602615658919,0.562955455224223,-5.105167044134803,4,False,0.0,False,0,0.0,GREEN,False
2026-07-13,S026,Anaemia,25,9,9,6,6,0.5610634441803115,2.3836564731139807,40.255991285403056,4,True,59.7,True,5,80.98,RED,True
2026-07-13,S027,Dehydration,46,10,10,6,6,0.34471924103206997,3.134811641096994,17.497280562296037,5,True,62.19,True,5,75.96,ORANGE,True
2026-07-13,S022,Loss of Appetite,350,10,10,6,6,0.7910810633130473,4.265283190204454,6.736347704308278,6,False,1.65,True,3,57.12,YELLOW,True
2026-07-13,S018,Nausea,1225,10,10,5,5,0.5464211539786723,2.930188889603249,3.137501430342381,5,False,2.02,True,3,51.32,YELLOW,True
2026-07-13,S009,Runny Nose,1407,10,10,5,5,-0.017044060404215678,1.8132963018384136,0.28566673503404943,5,False,0.0,True,3,50.07,YELLOW,True
2026-07-13,S015,Joint Pain,1538,10,10,4,5,0.5637115833983318,1.905586732340784,4.4644766526944775,8,False,7.21,True,3,48.04,YELLOW,True
2026-07-13,S014,Muscle Pain,3586,10,10,4,5,0.6503677864713022,2.8178526450152326,2.899929198509452,8,False,3.58,True,3,46.68,YELLOW,True
2026-07-13,S017,Rash,478,10,10,4,5,0.02158813198769245,1.5191698526848267,0.03518497305467179,6,False,6.12,True,3,46.64,YELLOW,True
2026-07-13,S001,Fever,7591,10,10,4,5,0.2829361937797708,2.065372093412048,0.5211733367457969,6,False,1.01,True,3,45.4,YELLOW,True
2026-07-13,S002,Headache,3868,10,10,4,5,0.14494593613880064,2.8876915027377343,0.4483406749265747,4,False,0.0,True,3,45.11,YELLOW,True
2026-07-13,S003,Fatigue,1739,10,10,4,5,-0.3132623417083462,1.21379425806881,-2.5960393843249236,4,False,0.46,True,3,30.0,GREEN,False
2026-07-13,S004,Chills,1097,10,10,5,5,-0.32846538836722694,2.290919806822869,-3.4687089671587996,4,False,0.0,True,3,30.0,GREEN,False
2026-07-13,S005,Sweating,1097,10,10,5,5,-0.32846538836722694,2.290919806822869,-3.4687089671587996,4,False,0.0,True,3,30.0,GREEN,False
2026-07-13,S006,Dry Cough,3598,10,10,6,6,-0.12568796698931795,1.3627281872955432,-0.374898623142481,5,False,0.0,True,5,30.0,GREEN,False
2026-07-13,S008,Sore Throat,2301,10,10,6,6,-0.18638824835804577,1.1943320206981691,-1.321703039296424,5,False,0.95,True,3,30.0,GREEN,False
2026-07-13,S010,Breathlessness,76,10,10,4,5,-0.724365505582999,1.4301938838683883,-20.81837725362946,3,False,0.0,True,3,30.0,GREEN,False
2026-07-13,S012,Loss of Taste,244,10,10,6,6,-0.7031339423693773,1.0878756313824398,-12.168727354984934,3,False,0.0,True,3,30.0,GREEN,False
2026-07-13,S013,Loss of Smell,251,10,10,6,6,-0.7641752171990588,1.1785113019775793,-12.238861798905626,2,False,0.0,True,3,30.0,GREEN,False
2026-07-13,S024,Night Sweats,83,10,10,6,6,-0.6734664280277636,1.3258610570414522,-14.687709156815306,3,False,17.19,True,5,30.0,GREEN,False
2026-07-13,S025,Bleeding,32,10,10,6,6,0.07724738104854631,1.5498260496951666,-2.297774406608147,5,False,0.0,True,5,30.0,GREEN,False
2026-07-13,S016,Retro-orbital Pain,1211,10,0,1,4,0.6317167861563477,3.5594305366675543,3.2781045835312113,5,False,7.39,False,0,7.79,GREEN,False
2026-07-13,S021,Abdominal Pain,901,10,0,1,4,0.1450908012565426,1.9827405196096828,1.936883260655101,6,False,3.61,False,0,6.45,GREEN,False
2026-07-13,S019,Vomiting,1631,10,0,1,4,0.2781841006494469,2.1269248984883125,1.3367655227206028,7,False,3.56,False,0,6.28,GREEN,False
2026-07-13,S020,Diarrhoea,1274,10,0,1,4,0.02237595486945876,1.3801225083369355,0.5432147134726554,7,False,3.38,False,0,6.04,GREEN,False
2026-07-13,S007,Persistent Cough,242,10,0,0,5,-0.6843547428908258,0.0,-13.226721594098597,0,False,1.79,False,0,0.48,GREEN,False
2026-07-13,S011,Chest Pain,15,8,0,0,5,-0.28340595370152694,0.4428074427700475,-17.900237017884077,2,False,0.0,False,0,0.0,GREEN,False
2026-07-13,S023,Weight Loss,20,8,0,0,5,-0.8694564387663667,0.0719443078836192,-42.564810509183914,1,False,0.0,False,0,0.0,GREEN,False
