week,hospital_id,case_count,previous_cases,growth_rate,alert_level
2026-06-01,H010,986,,,GREEN
2026-06-08,H010,971,986.0,-0.015212981744421906,GREEN
2026-06-15,H010,972,971.0,0.0010298661174047373,GREEN
2026-06-22,H010,1035,972.0,0.06481481481481481,GREEN
2026-06-29,H010,1012,1035.0,-0.022222222222222223,GREEN
2026-07-06,H010,1000,1012.0,-0.011857707509881422,GREEN
2026-07-13,H010,963,1000.0,-0.037,GREEN
2026-07-20,H010,986,963.0,0.023883696780893044,GREEN
2026-07-27,H010,977,986.0,-0.009127789046653144,GREEN
2026-08-03,H010,1021,977.0,0.04503582395087001,GREEN
2026-08-10,H010,967,1021.0,-0.05288932419196866,GREEN
2026-08-17,H010,1021,967.0,0.055842812823164424,GREEN
2026-08-24,H010,837,1021.0,-0.1802154750244858,GREEN
