symptom_pattern,encounter_count,mean_disease_similarity,mean_density_novelty,mean_cluster_novelty,mean_representation_novelty,max_representation_novelty,best_matching_disease_id,high_novelty_encounters,moderate_or_high_novelty_encounters,a7_evidence_status,best_matching_disease_id_a6,best_matching_disease,pathogen_type,inference_category,hospitals_affected,hospital_coverage_pct,total_anomalous_occurrences,mean_prevalence_growth,mean_persistence_weeks,cross_hospital_score,spread_level,known_disease_emerging_score,novelty_score,emergence_evidence_score,disease_inference_signal,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,clinical_support_category,temporal_emergence_score,final_emerging_score,confidence_score,signal_type,final_alert_level,supporting_lab_tests,supporting_imaging_findings,final_explanation,a7_raw_novelty_score,a7_novelty_score,a7_novelty_level,a7_interpretation
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,854,0.7248148782119594,96.00146899140245,99.6161700936579,97.80881954253017,100.0,D003,854,854,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,8,80.0,36,0.1745876155276388,2.125,44.48,MULTI-HOSPITAL,37.73,13.16,39.97,22.862,58.15,72.28,50.76,41.59,93.09,MODERATE_CLINICAL_SUPPORT,28.08477214217674,39.21,85.25,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.2/100.,97.80881954253017,34.52,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,82,0.7905694150420947,100.0,100.0,100.0,100.0,D002,82,82,SUFFICIENT_MATCHING_ENCOUNTERS,D002,Malaria,,KNOWN_DISEASE_EXPECTED,8,80.0,23,0.2000861373144374,2.125,45.13,MULTI-HOSPITAL,40.02,10.56,39.44,23.954,57.25,65.31,65.45,32.93,87.8,MODERATE_CLINICAL_SUPPORT,26.90044961047528,39.22,85.03,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Malaria. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.2/100.,100.0,34.33,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Night Sweats + Persistent Cough,1015,0.8595366413118666,100.0,100.0,100.0,100.0,D006,1015,1015,SUFFICIENT_MATCHING_ENCOUNTERS,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,5,50.0,30,0.4913753802102215,2.6,46.02,WIDESPREAD,36.87,19.11,44.9,22.925,32.73,11.91,45.94,54.33,0.0,WEAK_CLINICAL_SUPPORT,34.96700129568396,34.71,93.03,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is present across several hospitals. Clinical evidence is currently limited. Final emerging-signal score: 34.7/100.,100.0,33.4,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fatigue + Fever + Night Sweats + Persistent Cough,834,0.885400649207592,100.0,100.0,100.0,100.0,D006,834,834,SUFFICIENT_MATCHING_ENCOUNTERS,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,2,20.0,31,0.3380995579684422,4.5,47.53,LIMITED,35.09,17.19,45.87,22.132,33.47,11.97,48.42,54.24,0.0,WEAK_CLINICAL_SUPPORT,43.86611528913455,36.93,92.85,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence is currently limited. Final emerging-signal score: 36.9/100.,100.0,33.05,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,1761,0.7519463459048134,93.31424150185198,92.18300248154928,92.74862199170065,100.0,D003,1761,1761,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,8,80.0,40,0.0193578387926508,2.25,41.92,MULTI-HOSPITAL,31.97,13.52,36.66,19.651,57.4,72.51,48.96,40.31,93.24,MODERATE_CLINICAL_SUPPORT,26.857060444404027,37.21,85.04,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 37.2/100.,92.74862199170063,32.56,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Headache + Muscle Pain + Nausea + Rash,2139,0.7470460406587568,93.9720763980374,90.36924389087888,92.17066014445814,100.0,D003,2139,2139,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,6,1.4356470048606105,1.3333333333333333,43.37,LIMITED,44.33,16.76,45.39,26.704,56.93,72.34,47.89,40.03,92.89,MODERATE_CLINICAL_SUPPORT,36.35592406895953,41.19,89.75,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.2/100.,92.17066014445814,32.45,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,2136,0.7302555785821361,94.03958416358991,86.6341173109686,90.33685073727925,100.0,D003,1928,2136,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,4,40.0,10,1.0147817869379152,1.5,47.16,WIDESPREAD,47.3,17.46,48.86,28.536,56.53,71.45,47.78,40.2,91.81,MODERATE_CLINICAL_SUPPORT,32.65117914657716,41.94,88.21,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.9/100.,90.33685073727926,32.1,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,401,0.9598032965023099,100.0,100.0,100.0,100.0,D006,401,401,SUFFICIENT_MATCHING_ENCOUNTERS,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,10,100.0,59,0.0396963925723816,3.0,52.18,MULTI-HOSPITAL,39.07,12.78,47.57,24.292,41.33,12.01,73.11,55.96,0.0,MODERATE_CLINICAL_SUPPORT,32.91538773706502,38.64,90.54,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 38.6/100.,100.0,32.04,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,520,0.9612945858451711,100.0,100.0,100.0,100.0,D008,520,520,SUFFICIENT_MATCHING_ENCOUNTERS,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,2,20.0,13,0.5316638091941698,2.5,41.18,LIMITED,32.71,11.01,38.74,20.229,38.78,7.58,71.47,55.73,0.0,WEAK_CLINICAL_SUPPORT,32.11065607344006,33.53,95.4,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Acute Gastroenteritis. Clinical evidence is currently limited. Final emerging-signal score: 33.5/100.,100.0,32.02,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,2117,0.7326610018349209,94.05999870178665,86.02678546944695,90.04339208561682,100.0,D003,1924,2117,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,9,4.087746998430919,2.0,47.35,LIMITED,47.28,17.59,49.51,28.591,56.84,71.88,47.95,40.44,92.35,MODERATE_CLINICAL_SUPPORT,65.00113306556374,48.56,91.34,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 48.6/100.,90.0433920856168,31.97,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
