hospital_id,symptom_pattern,baseline_occurrences,current_pattern_occurrences,current_anomalous_occurrences,baseline_prevalence,current_prevalence,prevalence_growth,baseline_daily_average,current_daily_average,current_weekly_average,current_week_count,peak_weekly_count,week_over_week_growth,baseline_relative_growth,persistence_weeks,emergence_score,alert_level
H001,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,13,9,9,0.0013837147418839808,0.0019676432006996065,0.42200060542867723,0.21311475409836064,0.3103448275862069,2.25,4,3,0.0,0.4562334217506633,4,46.16,MODERATE
H001,Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,2,2,2,0.00021287919105907396,0.00043725404459991256,1.0540008745080893,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,2,43.0,MODERATE
H001,Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,2,2,2,0.00021287919105907396,0.00043725404459991256,1.0540008745080893,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,2,43.0,MODERATE
H001,Fever + Headache + Muscle Pain + Rash + Vomiting,1,3,3,0.00010643959552953698,0.0006558810668998689,5.162002623524268,0.01639344262295082,0.10344827586206896,1.0,3,1,0.0,5.310344827586206,1,39.5,MODERATE
H001,Fever + Muscle Pain + Rash,2,3,3,0.00021287919105907396,0.0006558810668998689,2.081001311762134,0.03278688524590164,0.10344827586206896,1.0,3,1,0.0,2.1551724137931036,1,39.5,MODERATE
H001,Diarrhoea + Fever + Headache + Loss of Appetite,2,2,2,0.00021287919105907396,0.00043725404459991256,1.0540008745080893,0.03278688524590164,0.06896551724137931,2.0,1,2,0.0,1.1034482758620687,1,38.0,LOW
H001,Abdominal Pain + Fever + Loss of Appetite,3,2,2,0.00031931878658861094,0.00043725404459991256,0.36933391633872625,0.04918032786885246,0.06896551724137931,1.0,2,1,0.0,0.40229885057471265,2,24.08,LOW
H001,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,6,4,4,0.0006386375731772219,0.0008745080891998251,0.36933391633872625,0.09836065573770492,0.13793103448275862,1.3333333333333333,3,2,0.0,0.40229885057471265,1,22.08,LOW
H001,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,5,3,3,0.0005321979776476849,0.0006558810668998689,0.23240052470485367,0.08196721311475409,0.10344827586206896,1.5,2,2,-0.5,0.26206896551724146,2,21.47,LOW
H001,Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,8,3,3,0.0008515167642362959,0.0006558810668998689,-0.22974967205946645,0.13114754098360656,0.10344827586206896,1.0,3,1,0.0,-0.2112068965517242,3,19.5,LOW
H001,Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,9,3,3,0.0009579563597658329,0.0006558810668998689,-0.31533304183063693,0.14754098360655737,0.10344827586206896,1.0,3,1,0.0,-0.2988505747126437,3,19.5,LOW
H001,Dry Cough + Fever + Loss of Smell + Loss of Taste,8,4,4,0.0008515167642362959,0.0008745080891998251,0.027000437254044687,0.13114754098360656,0.13793103448275862,1.3333333333333333,3,2,-0.5,0.05172413793103441,2,16.81,LOW
H001,Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,9,5,5,0.0009579563597658329,0.0010931351114997813,0.14111159694893827,0.14754098360655737,0.1724137931034483,1.6666666666666667,3,2,-0.5,0.1685823754789273,1,16.73,LOW
H001,Fever + Muscle Pain + Rash + Retro-orbital Pain,5,3,3,0.0005321979776476849,0.0006558810668998689,0.23240052470485367,0.08196721311475409,0.10344827586206896,1.5,2,2,-0.5,0.26206896551724146,1,16.47,LOW
H001,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,7,4,4,0.0007450771687067589,0.0008745080891998251,0.17371478543319394,0.11475409836065574,0.13793103448275862,2.0,2,2,0.0,0.20197044334975364,1,16.21,LOW
H001,Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,9,3,3,0.0009579563597658329,0.0006558810668998689,-0.31533304183063693,0.14754098360655737,0.10344827586206896,1.5,2,2,-0.5,-0.2988505747126437,2,14.5,LOW
H001,Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,5,2,2,0.0005321979776476849,0.00043725404459991256,-0.17839965019676426,0.08196721311475409,0.06896551724137931,1.0,2,1,0.0,-0.15862068965517237,2,13.0,LOW
H001,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,7,2,2,0.0007450771687067589,0.00043725404459991256,-0.413142607283403,0.11475409836065574,0.06896551724137931,1.0,2,1,0.0,-0.39901477832512317,2,13.0,LOW
H001,Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,12,3,3,0.0012772751463544438,0.0006558810668998689,-0.4864997813729776,0.19672131147540983,0.10344827586206896,1.5,2,2,-0.5,-0.47413793103448276,1,9.5,LOW
H001,Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,5,2,2,0.0005321979776476849,0.00043725404459991256,-0.17839965019676426,0.08196721311475409,0.06896551724137931,2.0,1,2,0.0,-0.15862068965517237,1,8.0,LOW
H001,Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,5,2,2,0.0005321979776476849,0.00043725404459991256,-0.17839965019676426,0.08196721311475409,0.06896551724137931,1.0,2,1,0.0,-0.15862068965517237,1,8.0,LOW
H001,Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,9,2,2,0.0009579563597658329,0.00043725404459991256,-0.5435553612204246,0.14754098360655737,0.06896551724137931,1.0,2,1,0.0,-0.5325670498084292,1,8.0,LOW
H002,Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,25,18,18,0.0032586027111574556,0.00490329610460365,0.5047235085807682,0.4098360655737705,0.6206896551724138,3.6,5,7,0.5,0.5144827586206897,5,74.64,HIGH
H002,Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,4,5,5,0.0005213764337851929,0.001362026695723236,1.6123672023971667,0.06557377049180328,0.1724137931034483,1.25,4,2,1.0,1.6293103448275863,4,72.5,HIGH
H002,Fatigue + Fever + Headache + Joint Pain + Muscle Pain + Rash,28,16,16,0.0036496350364963502,0.004358485426314356,0.19422500681013355,0.45901639344262296,0.5517241379310345,3.2,5,6,1.5,0.20197044334975364,5,69.83,HIGH
H002,Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,7,9,9,0.0009124087591240876,0.002451648052301825,1.6870062653228004,0.11475409836065574,0.3103448275862069,2.25,4,3,0.5,1.7044334975369457,3,66.0,HIGH
H002,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,5,5,5,0.0006517205422314911,0.001362026695723236,1.0898937619177336,0.08196721311475409,0.1724137931034483,1.0,5,1,0.0,1.1034482758620692,5,62.5,HIGH
H002,Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,15,9,9,0.0019551616266944736,0.002451648052301825,0.25393625715064,0.2459016393442623,0.3103448275862069,1.8,5,3,1.0,0.26206896551724146,5,61.12,HIGH
H002,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,3,4,4,0.0003910323253388947,0.001089621356578589,1.7865250158903117,0.04918032786885246,0.13793103448275862,2.0,2,3,2.0,1.8045977011494252,2,61.0,MODERATE
H002,Fever + Headache + Muscle Pain + Nausea + Retro-orbital Pain,2,3,3,0.00026068821689259646,0.0008172160174339417,2.1348406428766005,0.03278688524590164,0.10344827586206896,1.5,2,2,1.0,2.1551724137931036,2,59.5,MODERATE
H002,Diarrhoea + Fever + Vomiting,4,6,6,0.0005213764337851929,0.0016344320348678834,2.1348406428766005,0.06557377049180328,0.20689655172413793,2.0,3,3,-0.6666666666666666,2.1551724137931036,3,54.0,MODERATE
H002,Fever + Joint Pain + Muscle Pain + Rash + Vomiting,1,4,4,0.00013034410844629823,0.001089621356578589,7.359575047670933,0.01639344262295082,0.13793103448275862,1.3333333333333333,3,2,-0.5,7.413793103448275,3,51.0,MODERATE
H002,Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,25,13,13,0.0032586027111574556,0.003541269408880414,0.08674475619722148,0.4098360655737705,0.4482758620689655,2.6,5,5,-0.75,0.09379310344827585,5,47.1,MODERATE
H002,Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,2,2,2,0.00026068821689259646,0.0005448106782892945,1.0898937619177336,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,2,43.0,MODERATE
H002,Fever + Headache + Muscle Pain + Nausea + Retro-orbital Pain + Vomiting,2,2,2,0.00026068821689259646,0.0005448106782892945,1.0898937619177336,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,2,43.0,MODERATE
H002,Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,10,6,6,0.0013034410844629822,0.0016344320348678834,0.2539362571506402,0.16393442622950818,0.20689655172413793,1.2,5,2,0.0,0.26206896551724146,5,41.62,MODERATE
H002,Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,20,6,6,0.0026068821689259644,0.0016344320348678834,-0.37303187142467986,0.32786885245901637,0.20689655172413793,2.0,3,3,1.0,-0.36896551724137927,3,39.0,MODERATE
H002,Fever + Headache + Muscle Pain + Retro-orbital Pain + Vomiting,1,2,2,0.00013034410844629823,0.0005448106782892945,3.179787523835467,0.01639344262295082,0.06896551724137931,1.0,2,1,0.0,3.2068965517241375,1,38.0,LOW
H002,Fever + Muscle Pain + Nausea + Rash + Vomiting,1,2,2,0.00013034410844629823,0.0005448106782892945,3.179787523835467,0.01639344262295082,0.06896551724137931,1.0,2,1,0.0,3.2068965517241375,1,38.0,LOW
H002,Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,5,3,3,0.0006517205422314911,0.0008172160174339417,0.2539362571506402,0.08196721311475409,0.10344827586206896,1.5,2,2,1.0,0.26206896551724146,2,37.12,MODERATE
H002,Fatigue + Fever + Joint Pain + Muscle Pain,4,3,3,0.0005213764337851929,0.0008172160174339417,0.5674203214383001,0.06557377049180328,0.10344827586206896,1.0,3,1,0.0,0.5775862068965516,3,36.52,MODERATE
H002,Fever + Muscle Pain + Nausea + Rash + Retro-orbital Pain,4,3,3,0.0005213764337851929,0.0008172160174339417,0.5674203214383001,0.06557377049180328,0.10344827586206896,1.0,3,1,0.0,0.5775862068965516,3,36.52,MODERATE
H002,Fatigue + Fever + Joint Pain + Muscle Pain + Rash,6,4,4,0.0007820646506777894,0.001089621356578589,0.3932625079451557,0.09836065573770492,0.13793103448275862,1.0,4,1,0.0,0.40229885057471265,2,27.8,LOW
H002,Fever + Night Sweats + Persistent Cough,13,4,4,0.001694473409801877,0.001089621356578589,-0.3569557655637743,0.21311475409836064,0.13793103448275862,2.0,2,3,2.0,-0.3527851458885941,1,26.0,LOW
H002,Fever + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,3,2,2,0.0003910323253388947,0.0005448106782892945,0.3932625079451557,0.04918032786885246,0.06896551724137931,1.0,2,1,0.0,0.40229885057471265,2,24.8,LOW
H002,Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,11,6,6,0.0014337851929092805,0.0016344320348678834,0.13994205195512743,0.18032786885245902,0.20689655172413793,2.0,3,2,0.0,0.1473354231974921,2,23.2,LOW
H002,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,13,5,5,0.001694473409801877,0.001362026695723236,-0.19619470695471794,0.21311475409836064,0.1724137931034483,2.5,2,3,0.5,-0.1909814323607426,1,20.0,LOW
H002,Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,3,2,2,0.0003910323253388947,0.0005448106782892945,0.3932625079451557,0.04918032786885246,0.06896551724137931,1.0,2,1,0.0,0.40229885057471265,1,19.8,LOW
H002,Fever + Joint Pain + Muscle Pain + Nausea + Rash,3,2,2,0.0003910323253388947,0.0005448106782892945,0.3932625079451557,0.04918032786885246,0.06896551724137931,2.0,1,2,0.0,0.40229885057471265,1,19.8,LOW
H002,Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,16,5,5,0.0020855057351407717,0.001362026695723236,-0.34690819940070833,0.26229508196721313,0.1724137931034483,1.6666666666666667,3,2,0.0,-0.3426724137931034,2,17.5,LOW
H002,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,9,5,5,0.0011730969760166841,0.001362026695723236,0.1610520899542963,0.14754098360655737,0.1724137931034483,1.25,4,2,-0.5,0.1685823754789273,1,17.33,LOW
H002,Fever + Headache + Muscle Pain + Nausea + Rash + Retro-orbital Pain,11,4,4,0.0014337851929092805,0.001089621356578589,-0.24003863202991504,0.18032786885245902,0.13793103448275862,2.0,2,3,-0.6666666666666666,-0.2351097178683386,2,16.0,LOW
H002,Fever + Headache + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,10,3,3,0.0013034410844629822,0.0008172160174339417,-0.37303187142467986,0.16393442622950818,0.10344827586206896,1.0,3,1,0.0,-0.36896551724137927,2,14.5,LOW
H002,Fever + Headache + Muscle Pain + Nausea + Rash,4,2,2,0.0005213764337851929,0.0005448106782892945,0.04494688095886678,0.06557377049180328,0.06896551724137931,1.0,2,1,0.0,0.05172413793103441,2,14.35,LOW
H002,Fatigue + Fever + Headache + Joint Pain + Muscle Pain,5,2,2,0.0006517205422314911,0.0005448106782892945,-0.1640424952329065,0.08196721311475409,0.06896551724137931,1.0,2,1,0.0,-0.15862068965517237,2,13.0,LOW
H002,Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,5,2,2,0.0006517205422314911,0.0005448106782892945,-0.1640424952329065,0.08196721311475409,0.06896551724137931,1.0,2,1,0.0,-0.15862068965517237,2,13.0,LOW
H002,Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,6,3,3,0.0007820646506777894,0.0008172160174339417,0.04494688095886678,0.09836065573770492,0.10344827586206896,1.0,3,1,0.0,0.05172413793103449,1,10.85,LOW
H002,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,8,3,3,0.0010427528675703858,0.0008172160174339417,-0.2162898392808499,0.13114754098360656,0.10344827586206896,1.5,2,2,-0.5,-0.2112068965517242,1,9.5,LOW
H002,Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,9,3,3,0.0011730969760166841,0.0008172160174339417,-0.3033687460274222,0.14754098360655737,0.10344827586206896,1.0,3,1,0.0,-0.2988505747126437,1,9.5,LOW
H002,Fever + Headache + Muscle Pain + Rash,5,2,2,0.0006517205422314911,0.0005448106782892945,-0.1640424952329065,0.08196721311475409,0.06896551724137931,2.0,1,2,0.0,-0.15862068965517237,1,8.0,LOW
H002,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,6,2,2,0.0007820646506777894,0.0005448106782892945,-0.30336874602742214,0.09836065573770492,0.06896551724137931,2.0,1,2,0.0,-0.2988505747126437,1,8.0,LOW
H003,Fatigue + Fever + Night Sweats + Persistent Cough,28,19,19,0.00299625468164794,0.004208194905869324,0.4044850498338869,0.45901639344262296,0.6551724137931034,3.8,5,6,-0.16666666666666666,0.4273399014778324,5,65.63,HIGH
H003,Fever + Night Sweats + Persistent Cough,6,10,10,0.0006420545746388443,0.0022148394241417496,2.449612403100775,0.09836065573770492,0.3448275862068966,2.5,4,4,-0.6666666666666666,2.505747126436782,4,65.0,HIGH
H003,Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,3,3,3,0.00032102728731942215,0.000664451827242525,1.0697674418604652,0.04918032786885246,0.10344827586206896,1.5,2,2,1.0,1.103448275862069,2,59.5,MODERATE
H003,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,56,28,28,0.00599250936329588,0.006201550387596899,0.0348837209302325,0.9180327868852459,0.9655172413793104,5.6,5,11,-0.9,0.0517241379310345,5,56.05,HIGH
H003,Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,2,5,5,0.00021401819154628142,0.0011074197120708748,4.174418604651163,0.03278688524590164,0.1724137931034483,1.6666666666666667,3,2,-0.5,4.258620689655173,3,52.5,MODERATE
H003,Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,7,6,6,0.000749063670411985,0.00132890365448505,0.7740863787375416,0.11475409836065574,0.20689655172413793,1.5,4,2,-0.5,0.8029556650246304,4,52.22,MODERATE
H003,Diarrhoea + Fever + Headache + Loss of Appetite,1,4,4,0.00010700909577314071,0.0008859357696566999,7.279069767441861,0.01639344262295082,0.13793103448275862,1.3333333333333333,3,2,-0.5,7.413793103448275,3,51.0,MODERATE
H003,Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,28,15,15,0.00299625468164794,0.0033222591362126247,0.10880398671096343,0.45901639344262296,0.5172413793103449,3.0,5,5,-0.8,0.12684729064039413,5,50.76,MODERATE
H003,Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,16,9,9,0.0017121455323702514,0.0019933554817275745,0.16424418604651156,0.26229508196721313,0.3103448275862069,1.8,5,4,-0.75,0.18318965517241376,5,43.43,MODERATE
H003,Fever + Headache + Muscle Pain + Rash + Vomiting,1,2,2,0.00010700909577314071,0.00044296788482834997,3.139534883720931,0.01639344262295082,0.06896551724137931,1.0,2,1,0.0,3.2068965517241375,2,43.0,MODERATE
H003,Night Sweats + Persistent Cough,2,2,2,0.00021401819154628142,0.00044296788482834997,1.0697674418604652,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,2,43.0,MODERATE
H003,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,2,2,2,0.00021401819154628142,0.00044296788482834997,1.0697674418604652,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,2,43.0,MODERATE
H003,Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,1,2,2,0.00010700909577314071,0.00044296788482834997,3.139534883720931,0.01639344262295082,0.06896551724137931,1.0,2,1,0.0,3.2068965517241375,1,38.0,LOW
H003,Fever + Headache + Muscle Pain + Nausea + Vomiting,2,2,2,0.00021401819154628142,0.00044296788482834997,1.0697674418604652,0.03278688524590164,0.06896551724137931,1.0,2,1,0.0,1.1034482758620687,1,38.0,LOW
H003,Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,11,5,5,0.001177100053504548,0.0011074197120708748,-0.05919661733615231,0.18032786885245902,0.1724137931034483,1.6666666666666667,3,2,1.0,-0.04388714733542316,3,37.5,MODERATE
H003,Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,7,5,5,0.000749063670411985,0.0011074197120708748,0.4784053156146178,0.11475409836065574,0.1724137931034483,1.6666666666666667,3,3,-0.6666666666666666,0.5024630541871922,3,36.85,MODERATE
H003,Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,28,11,11,0.00299625468164794,0.0024363233665559247,-0.18687707641196016,0.45901639344262296,0.3793103448275862,2.75,4,3,0.0,-0.1736453201970444,4,36.5,MODERATE
H003,Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,25,10,10,0.002675227394328518,0.0022148394241417496,-0.17209302325581396,0.4098360655737705,0.3448275862068966,2.5,4,5,-0.6,-0.15862068965517237,4,35.0,MODERATE
H003,Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,22,4,4,0.002354200107009096,0.0008859357696566999,-0.6236786469344608,0.36065573770491804,0.13793103448275862,2.0,2,3,2.0,-0.6175548589341693,2,31.0,LOW
H003,Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,9,6,6,0.0009630818619582664,0.00132890365448505,0.37984496124031014,0.14754098360655737,0.20689655172413793,1.5,4,3,-0.6666666666666666,0.40229885057471265,2,30.4,LOW
H003,Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,32,12,12,0.0034242910647405028,0.0026578073089701,-0.2238372093023255,0.5245901639344263,0.41379310344827586,3.0,4,5,-0.3333333333333333,-0.2112068965517242,2,28.0,LOW
H003,Diarrhoea + Fever + Vomiting,7,3,3,0.000749063670411985,0.000664451827242525,-0.11295681063122923,0.11475409836065574,0.10344827586206896,1.5,2,2,1.0,-0.09852216748768476,1,24.5,LOW
H003,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,10,3,3,0.001070090957731407,0.000664451827242525,-0.3790697674418604,0.16393442622950818,0.10344827586206896,1.5,2,2,1.0,-0.36896551724137927,1,24.5,LOW
H003,Dry Cough + Fever + Loss of Smell + Loss of Taste,11,3,3,0.001177100053504548,0.000664451827242525,-0.4355179704016913,0.18032786885245902,0.10344827586206896,1.5,2,2,1.0,-0.4263322884012539,1,24.5,LOW
H003,Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,6,3,3,0.0006420545746388443,0.000664451827242525,0.03488372093023263,0.09836065573770492,0.10344827586206896,1.0,3,1,0.0,0.05172413793103449,3,20.55,LOW
H003,Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,10,5,5,0.001070090957731407,0.0011074197120708748,0.03488372093023259,0.16393442622950818,0.1724137931034483,1.6666666666666667,3,2,-0.5,0.051724137931034635,2,18.55,LOW
H003,Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,13,3,3,0.0013911182450508292,0.000664451827242525,-0.5223613595706619,0.21311475409836064,0.10344827586206896,1.0,3,1,0.0,-0.5145888594164456,2,14.5,LOW
H003,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,4,2,2,0.00042803638309256285,0.00044296788482834997,0.03488372093023267,0.06557377049180328,0.06896551724137931,1.0,2,1,0.0,0.05172413793103441,2,14.05,LOW
H003,Fatigue + Night Sweats + Persistent Cough,13,6,6,0.0013911182450508292,0.00132890365448505,-0.04472271914132368,0.21311475409836064,0.20689655172413793,2.0,3,3,-0.6666666666666666,-0.0291777188328912,1,14.0,LOW
H003,Abdominal Pain + Fatigue + Fever + Loss of Appetite,9,3,3,0.0009630818619582664,0.000664451827242525,-0.3100775193798449,0.14754098360655737,0.10344827586206896,1.5,2,2,-0.5,-0.2988505747126437,1,9.5,LOW
H003,Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,6,2,2,0.0006420545746388443,0.00044296788482834997,-0.3100775193798449,0.09836065573770492,0.06896551724137931,2.0,1,2,0.0,-0.2988505747126437,1,8.0,LOW
H003,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,9,2,2,0.0009630818619582664,0.00044296788482834997,-0.5400516795865633,0.14754098360655737,0.06896551724137931,2.0,1,2,0.0,-0.5325670498084292,1,8.0,LOW
H003,Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,10,2,2,0.001070090957731407,0.00044296788482834997,-0.5860465116279069,0.16393442622950818,0.06896551724137931,1.0,2,1,0.0,-0.5793103448275861,1,8.0,LOW
H004,Dry Cough + Fever + Loss of Smell,1,7,7,0.00011243534967393749,0.00167986561075114,13.940724742020638,0.01639344262295082,0.2413793103448276,2.3333333333333335,3,3,2.0,13.724137931034484,3,70.5,HIGH
H004,Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,64,43,43,0.007195862379131999,0.010319174466042717,0.4340427765778738,1.0491803278688525,1.4827586206896552,8.6,5,14,-0.5384615384615384,0.41325431034482757,5,68.02,HIGH
H004,Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,13,10,10,0.0014616595457611872,0.0023998080153587713,0.6418378837385318,0.21311475409836064,0.3448275862068966,2.0,5,3,0.5,0.6180371352785148,5,66.76,HIGH
H004,Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,13,9,9,0.0014616595457611872,0.0021598272138228943,0.4776540953646787,0.21311475409836064,0.3103448275862069,1.8,5,3,0.5,0.4562334217506633,5,60.33,HIGH
H004,Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,29,13,13,0.003260625140544187,0.0031197504199664025,-0.043204819476510885,0.47540983606557374,0.4482758620689655,2.6,5,5,1.5,-0.057074910820451775,5,59.5,HIGH
H004,Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,32,10,10,0.0035979311895659996,0.0023998080153587713,-0.33300335973122147,0.5245901639344263,0.3448275862068966,2.0,5,4,3.0,-0.3426724137931034,5,55.0,HIGH
H004,Anaemia + Chills + Fatigue + Fever + Headache + Sweating,3,4,4,0.00033730604902181243,0.0009599232061435085,1.8458523318134552,0.04918032786885246,0.13793103448275862,1.3333333333333333,3,2,-0.5,1.8045977011494252,3,51.0,MODERATE
