symptom_pattern,hospitals_affected,hospital_coverage,total_anomalous_occurrences,spread_level,cross_hospital_score,mean_current_prevalence,max_current_prevalence,mean_prevalence_growth,max_prevalence_growth,mean_persistence_weeks,max_persistence_weeks,mean_emergence_score,max_emergence_score,emergence_evidence_score,best_matching_disease_id,best_matching_disease,best_matching_pathogen_type,best_matching_disease_category,best_matching_outbreak_potential,disease_compatibility_score,symptom_coverage,frequency_adjusted_coverage,disease_profile_coverage,jaccard_similarity,mandatory_symptom_coverage,expected_symptom_fraction,atypical_symptom_fraction,unexplained_symptom_fraction,matched_symptoms,expected_symptoms,atypical_symptoms,unexplained_symptoms,second_matching_disease,second_matching_pathogen_type,second_disease_compatibility_score,known_disease_emerging_score,novelty_score,inference_category,alert_level,explanation
Fever + Headache + Muscle Pain + Nausea + Rash,3,0.3,6,LIMITED,43.37,0.000556,0.00064,1.4356,3.157,1.33,2.0,30.12,38.0,45.39,D001,Dengue,Virus,Vector-borne,High,82.92,100.0,85.0,55.56,55.56,100.0,80.0,20.0,0.0,fever + headache + muscle pain + nausea + rash,fever + headache + muscle pain + rash,nausea,,Chikungunya,Virus,71.26,44.33,16.76,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 82.9%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Muscle Pain, Rash. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,5,0.5,13,WIDESPREAD,47.98,0.000723,0.001103,0.7759,2.1925,2.0,3.0,31.54,61.0,47.68,D005,COVID-19,Virus,Respiratory,High,93.21,100.0,90.0,85.71,85.71,100.0,100.0,0.0,0.0,breathlessness + dry cough + fatigue + fever + loss of taste + sore throat,breathlessness + dry cough + fatigue + fever + loss of taste + sore throat,,,Influenza,Virus,63.35,43.8,12.59,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 93.2%). The known pathogen type is virus. Expected symptoms include Breathlessness, Dry Cough, Fatigue, Fever, Loss Of Taste, Sore Throat. The pattern affects 5 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,3,0.3,8,LIMITED,38.51,0.000827,0.001537,0.8943,3.239,1.33,2.0,20.97,41.0,41.54,D002,Malaria,Parasite,Vector-borne,High,91.07,100.0,79.29,87.5,87.5,100.0,71.43,28.57,0.0,anaemia + chills + fatigue + fever + headache + sweating + vomiting,chills + fatigue + fever + headache + sweating,anaemia + vomiting,,Typhoid Fever,Bacteria,45.64,43.35,12.33,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Malaria (compatibility 91.1%). The known pathogen type is parasite. Expected symptoms include Chills, Fatigue, Fever, Headache, Sweating. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Muscle Pain + Rash + Retro-orbital Pain,3,0.3,11,LIMITED,46.51,0.000877,0.001251,2.1667,4.1501,1.67,2.0,36.16,47.5,48.26,D001,Dengue,Virus,Vector-borne,High,81.46,100.0,92.5,44.44,44.44,100.0,100.0,0.0,0.0,fever + muscle pain + rash + retro orbital pain,fever + muscle pain + rash + retro orbital pain,,,Chikungunya,Virus,64.3,43.02,18.0,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 81.5%). The known pathogen type is virus. Expected symptoms include Fever, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,10,1.0,59,MULTI-HOSPITAL,53.22,0.001568,0.002452,-0.1975,0.2539,3.5,5.0,30.73,61.12,48.85,D006,Tuberculosis,Bacteria,Respiratory,Medium,96.25,100.0,85.0,100.0,100.0,100.0,83.33,16.67,0.0,chest pain + fatigue + fever + night sweats + persistent cough + weight loss,fatigue + fever + night sweats + persistent cough + weight loss,chest pain,,Typhoid Fever,Bacteria,36.71,42.86,11.46,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Tuberculosis (compatibility 96.2%). The known pathogen type is bacteria. Expected symptoms include Fatigue, Fever, Night Sweats, Persistent Cough, Weight Loss. The pattern affects 10 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Fever + Headache + Loss of Appetite,3,0.3,10,LIMITED,46.12,0.001016,0.001225,2.222,5.4032,1.33,2.0,39.3,47.39,46.89,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,87.19,100.0,88.75,66.67,66.67,100.0,100.0,0.0,0.0,abdominal pain + fever + headache + loss of appetite,abdominal pain + fever + headache + loss of appetite,,,Influenza,Virus,41.36,42.54,15.14,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 87.2%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fever, Headache, Loss Of Appetite. The pattern affects 3 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,2,0.2,5,LIMITED,41.62,0.000612,0.000724,4.1778,5.2355,1.0,1.0,38.75,39.5,42.48,D006,Tuberculosis,Bacteria,Respiratory,Medium,91.25,100.0,85.0,83.33,83.33,100.0,80.0,20.0,0.0,chest pain + fever + night sweats + persistent cough + weight loss,fever + night sweats + persistent cough + weight loss,chest pain,,Typhoid Fever,Bacteria,25.67,42.23,12.43,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Tuberculosis (compatibility 91.2%). The known pathogen type is bacteria. Expected symptoms include Fever, Night Sweats, Persistent Cough, Weight Loss. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,8,0.8,96,MULTI-HOSPITAL,55.62,0.003186,0.003753,0.0978,0.5437,3.88,5.0,47.21,67.7,54.72,D005,COVID-19,Virus,Respiratory,High,89.18,100.0,91.0,71.43,71.43,100.0,100.0,0.0,0.0,dry cough + fever + loss of smell + loss of taste + sore throat,dry cough + fever + loss of smell + loss of taste + sore throat,,,Influenza,Virus,56.2,41.41,15.81,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 89.2%). The known pathogen type is virus. Expected symptoms include Dry Cough, Fever, Loss Of Smell, Loss Of Taste, Sore Throat. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,5,0.5,16,WIDESPREAD,42.52,0.00085,0.001329,0.6554,3.239,1.6,4.0,26.71,52.22,42.05,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,90.5,100.0,82.0,83.33,83.33,100.0,80.0,20.0,0.0,abdominal pain + diarrhoea + fatigue + fever + loss of appetite,abdominal pain + fatigue + fever + loss of appetite,diarrhoea,,Acute Gastroenteritis,Mixed,50.5,41.12,12.69,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 90.5%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fatigue, Fever, Loss Of Appetite. The pattern affects 5 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,8,0.8,99,MULTI-HOSPITAL,51.78,0.003493,0.004903,-0.0052,0.5047,3.5,5.0,45.92,74.64,50.28,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,95.62,100.0,82.5,100.0,100.0,100.0,83.33,16.67,0.0,abdominal pain + diarrhoea + fatigue + fever + headache + loss of appetite,abdominal pain + fatigue + fever + headache + loss of appetite,diarrhoea,,Acute Gastroenteritis,Mixed,44.17,40.31,12.03,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 95.6%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fatigue, Fever, Headache, Loss Of Appetite. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,8,0.8,23,MULTI-HOSPITAL,45.13,0.00079,0.001362,0.2001,1.6124,2.12,4.0,28.75,72.5,39.44,D002,Malaria,Parasite,Vector-borne,High,94.06,100.0,76.25,100.0,100.0,100.0,62.5,37.5,0.0,anaemia + chills + fatigue + fever + headache + nausea + sweating + vomiting,chills + fatigue + fever + headache + sweating,anaemia + nausea + vomiting,,Dengue,Virus,42.32,40.02,10.56,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Malaria (compatibility 94.1%). The known pathogen type is parasite. Expected symptoms include Chills, Fatigue, Fever, Headache, Sweating. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,8,0.8,23,MULTI-HOSPITAL,46.0,0.00079,0.001153,0.3736,3.1201,1.62,3.0,26.77,42.19,41.59,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,90.5,100.0,82.0,83.33,83.33,100.0,80.0,20.0,0.0,diarrhoea + fatigue + fever + headache + loss of appetite,fatigue + fever + headache + loss of appetite,diarrhoea,,Influenza,Virus,50.45,39.92,12.59,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 90.5%). The known pathogen type is bacteria. Expected symptoms include Fatigue, Fever, Headache, Loss Of Appetite. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,10,1.0,59,MULTI-HOSPITAL,52.18,0.001603,0.002186,0.0397,0.6203,3.0,5.0,31.29,57.4,47.57,D006,Tuberculosis,Bacteria,Respiratory,Medium,92.75,100.0,91.0,83.33,83.33,100.0,100.0,0.0,0.0,fatigue + fever + night sweats + persistent cough + weight loss,fatigue + fever + night sweats + persistent cough + weight loss,,,Typhoid Fever,Bacteria,41.03,39.07,12.78,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Tuberculosis (compatibility 92.8%). The known pathogen type is bacteria. Expected symptoms include Fatigue, Fever, Night Sweats, Persistent Cough, Weight Loss. The pattern affects 10 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,8,0.8,36,MULTI-HOSPITAL,44.48,0.001272,0.002942,0.1746,1.1284,2.12,5.0,28.31,60.33,39.97,D001,Dengue,Virus,Vector-borne,High,88.51,100.0,80.71,77.78,77.78,100.0,71.43,28.57,0.0,fever + headache + joint pain + muscle pain + nausea + rash + vomiting,fever + headache + joint pain + muscle pain + rash,nausea + vomiting,,Chikungunya,Virus,72.62,37.73,13.16,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 88.5%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
