symptom_pattern,hospital_id,occurrences,current_prevalence,prevalence_growth,persistence_weeks,emergence_score
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,H008,9,0.0027556644213104714,-0.06252296387017765,4,33.5
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H001,6,0.0013117621337997377,0.760572178149791,2,49.32
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H003,3,0.000664451827242525,-0.3100775193798449,1,9.5
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H005,2,0.0005003752814610958,0.3733633558502209,1,19.2
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H006,4,0.001280819724623759,0.20287269566808458,3,27.09
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H007,2,0.000735564545788893,-0.2905479955866127,2,13.0
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H008,4,0.001224739742804654,0.041641151255358236,2,17.25
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H009,3,0.0011529592621060721,0.059761721752498026,3,21.29
Abdominal Pain + Fatigue + Fever + Loss of Appetite,H010,5,0.001207437816952427,0.2990521613136924,1,36.47
Abdominal Pain + Fever + Headache + Loss of Appetite,H004,3,0.0007199424046076314,5.403167746580273,1,39.5
Abdominal Pain + Fever + Headache + Loss of Appetite,H007,3,0.0011033468186833395,0.5962670099301214,2,47.39
Abdominal Pain + Fever + Headache + Loss of Appetite,H008,4,0.001224739742804654,0.6666258420085731,1,31.0
Abdominal Pain + Fever + Loss of Appetite,H001,2,0.00043725404459991256,0.36933391633872625,2,24.08
Abdominal Pain + Fever + Loss of Appetite,H005,3,0.0007505629221916438,1.0600450337753315,2,44.5
Abdominal Pain + Fever + Loss of Appetite,H010,4,0.0009659502535619416,1.7713112774692101,3,51.0
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,H001,2,0.00043725404459991256,-0.17839965019676426,1,8.0
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,H003,3,0.000664451827242525,1.0697674418604652,2,59.5
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,H005,2,0.0005003752814610958,0.03002251688766569,1,8.9
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,H006,2,0.0006404098623118795,-0.15798911303234076,2,13.0
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,H007,2,0.000735564545788893,0.06417800662008089,1,9.93
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,H010,3,0.0007244626901714562,0.2470900748611446,2,21.91
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H001,3,0.0006558810668998689,-0.31533304183063693,3,19.5
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H002,5,0.001362026695723236,1.6123672023971667,4,72.5
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H003,2,0.00044296788482834997,-0.3100775193798449,1,8.0
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H005,3,0.0007505629221916438,-0.31331832207488947,2,14.5
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H006,4,0.001280819724623759,0.6840217739353185,3,56.52
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H007,2,0.000735564545788893,1.1283560132401618,2,43.0
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H008,2,0.000612369871402327,-0.47917942437232086,1,8.0
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,H010,2,0.0004829751267809708,-0.40614758339945495,1,8.0
Anaemia + Chills + Fatigue + Fever + Headache + Sweating,H004,4,0.0009599232061435085,1.8458523318134552,3,51.0
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,H003,2,0.00044296788482834997,-0.5860465116279069,1,8.0
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,H005,2,0.0005003752814610958,0.03002251688766569,2,13.9
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,H009,4,0.0015372790161414297,3.239046887009992,1,41.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,H001,2,0.00043725404459991256,-0.413142607283403,2,13.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,H003,5,0.0011074197120708748,0.03488372093023259,2,18.55
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,H005,2,0.0005003752814610958,-0.7057078523178099,1,8.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,H010,5,0.001207437816952427,0.15471303227883768,1,17.14
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H002,5,0.001362026695723236,1.0898937619177336,5,62.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H003,3,0.000664451827242525,-0.3790697674418604,1,24.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H004,4,0.0009599232061435085,0.7075113990880728,1,32.23
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H006,2,0.0006404098623118795,-0.15798911303234076,1,8.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H007,3,0.0011033468186833395,0.5962670099301214,2,47.39
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H008,4,0.001224739742804654,0.3888548683404777,1,37.67
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H009,3,0.0011529592621060721,2.1792851652574936,2,44.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H010,3,0.0007244626901714562,-0.22056870321178457,1,24.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Retro-orbital Pain + Vomiting,H006,2,0.0006404098623118795,1.0,1,38.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,H002,2,0.0005448106782892945,-0.30336874602742214,1,8.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,H003,2,0.00044296788482834997,1.0697674418604652,2,43.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,H005,2,0.0005003752814610958,-0.17598198648986746,2,13.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,H006,2,0.0006404098623118795,0.05251360870957408,1,9.58
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,H007,3,0.0011033468186833395,2.1925340198602425,2,59.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,H010,3,0.0007244626901714562,2.1177251871528617,2,44.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H001,4,0.0008745080891998251,0.36933391633872625,1,22.08
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H002,3,0.0008172160174339417,-0.2162898392808499,1,9.5
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H005,3,0.0007505629221916438,0.030022516887665766,2,15.4
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H006,2,0.0006404098623118795,-0.15798911303234076,1,8.0
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H007,3,0.0011033468186833395,0.2770136079440972,1,17.81
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H008,3,0.0009185548071034905,-0.21876913655848132,2,29.5
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H001,3,0.0006558810668998689,0.23240052470485367,2,21.47
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H003,2,0.00044296788482834997,0.03488372093023267,2,14.05
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H004,4,0.0009599232061435085,0.7075113990880728,3,42.23
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H006,3,0.0009606147934678194,0.2630163304514889,1,17.39
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H001,46,0.010056843025797988,0.12481000270681075,5,71.24
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H003,28,0.006201550387596899,0.0348837209302325,5,56.05
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H004,43,0.010319174466042717,0.4340427765778738,5,68.02
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H005,21,0.005253940455341506,-0.34453112561693994,5,55.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H006,23,0.007364713416586615,-0.10341433332147383,5,55.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H007,24,0.008826774549466716,-0.11930096003855367,5,55.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H008,26,0.007960808328230252,-0.1793130323442631,5,55.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H009,18,0.006917755572636433,-0.15219062259800156,5,52.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H010,21,0.005071238831200193,-0.2725307896643323,5,57.14
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,H001,4,0.0008745080891998251,0.6432006996064715,2,50.3
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,H004,2,0.00047996160307175426,-0.14624430045596357,1,8.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,H005,2,0.0005003752814610958,3.1200900675506626,2,43.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,H006,2,0.0006404098623118795,1.1050272174191482,1,38.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,H009,2,0.0007686395080707148,3.239046887009992,1,38.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,H010,2,0.0004829751267809708,-0.40614758339945495,1,8.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,H002,4,0.001089621356578589,1.7865250158903117,2,61.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,H003,2,0.00044296788482834997,-0.5400516795865633,1,8.0
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,H004,2,0.00047996160307175426,0.06719462443004559,2,15.02
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,H005,2,0.0005003752814610958,0.3733633558502209,2,24.2
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,H007,3,0.0011033468186833395,2.1925340198602425,3,49.5
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H001,3,0.0006558810668998689,-0.22974967205946645,3,19.5
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H003,3,0.000664451827242525,0.03488372093023263,3,20.55
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H005,2,0.0005003752814610958,-0.4114157046356196,2,13.0
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H008,4,0.001224739742804654,0.3888548683404777,2,27.67
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H010,3,0.0007244626901714562,0.5588625935764309,2,46.27
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H001,8,0.0017490161783996502,-0.13515752652290974,4,47.0
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H002,9,0.002451648052301825,0.25393625715064,5,61.12
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H003,9,0.0019933554817275745,0.16424418604651156,5,43.43
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H004,6,0.0014398848092152627,-0.08526175048853235,4,29.0
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H005,7,0.0017513134851138354,-0.03864565090484533,5,35.5
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H006,6,0.0019212295869356388,-0.3985636521659577,4,29.0
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H007,3,0.0011033468186833395,-0.5088409200215012,1,9.5
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H008,5,0.0015309246785058174,0.041641151255358125,5,33.75
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H009,2,0.0007686395080707148,-0.6467460927491673,1,8.0
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H010,4,0.0009659502535619416,-0.622093916708744,1,11.0
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,H004,3,0.0007199424046076314,2.2015838732901365,3,49.5
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,H006,3,0.0009606147934678194,1.0,2,59.5
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,H005,2,0.0005003752814610958,3.1200900675506626,1,38.0
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,H010,3,0.0007244626901714562,5.2354503743057235,1,39.5
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H001,2,0.00043725404459991256,-0.5435553612204246,1,8.0
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H002,3,0.0008172160174339417,0.2539362571506402,2,37.12
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H003,5,0.0011074197120708748,0.4784053156146178,3,36.85
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H004,3,0.0007199424046076314,-0.19960403167746585,3,19.5
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H005,2,0.0005003752814610958,3.1200900675506626,1,38.0
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H007,3,0.0011033468186833395,-0.08784742289707342,1,24.5
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H009,3,0.0011529592621060721,0.5896425826287469,1,42.19
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,H010,2,0.0004829751267809708,-0.622093916708744,1,8.0
Diarrhoea + Fatigue + Fever + Loss of Appetite,H004,2,0.00047996160307175426,1.134389248860091,2,43.0
Diarrhoea + Fatigue + Fever + Loss of Appetite,H008,2,0.000612369871402327,1.0832823025107166,1,38.0
Diarrhoea + Fatigue + Fever + Loss of Appetite,H010,2,0.0004829751267809708,1.0784834581019078,2,43.0
Diarrhoea + Fever + Headache + Loss of Appetite,H001,2,0.00043725404459991256,1.0540008745080893,1,38.0
Diarrhoea + Fever + Headache + Loss of Appetite,H003,4,0.0008859357696566999,7.279069767441861,3,51.0
Diarrhoea + Fever + Vomiting,H002,6,0.0016344320348678834,2.1348406428766005,3,54.0
Diarrhoea + Fever + Vomiting,H003,3,0.000664451827242525,-0.11295681063122923,1,24.5
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H001,20,0.004372540445999125,0.7860877169635557,5,93.58
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H003,11,0.0024363233665559247,-0.18687707641196016,4,36.5
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H004,4,0.0009599232061435085,-0.7692552163394496,2,16.0
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H005,8,0.0020015011258443832,-0.3133183220748895,4,32.0
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H006,10,0.003202049311559398,0.5035908695851058,3,45.11
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H007,12,0.004413387274733358,1.128356013240162,5,73.0
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H008,16,0.004898958971218616,0.5151144018259757,4,59.45
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H009,15,0.005764796310530361,0.7662695362541633,5,70.49
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,H010,16,0.003863801014247766,0.00774955544334921,4,59.23
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H005,36,0.009006755066299724,0.01591261939605386,5,55.48
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,H010,31,0.007486114465105047,-0.02374261816425548,5,55.0
Dry Cough + Fever + Loss of Smell,H004,7,0.00167986561075114,13.940724742020638,3,70.5
Dry Cough + Fever + Loss of Smell,H005,2,0.0005003752814610958,1.0600450337753313,2,43.0
Dry Cough + Fever + Loss of Smell + Loss of Taste,H001,4,0.0008745080891998251,0.027000437254044687,2,16.81
Dry Cough + Fever + Loss of Smell + Loss of Taste,H003,3,0.000664451827242525,-0.4355179704016913,1,24.5
Dry Cough + Fever + Loss of Smell + Loss of Taste,H004,3,0.0007199424046076314,-0.19960403167746585,2,29.5
Dry Cough + Fever + Loss of Smell + Loss of Taste,H008,4,0.001224739742804654,0.19044703000612362,2,21.71
Dry Cough + Fever + Loss of Smell + Loss of Taste,H009,3,0.0011529592621060721,1.119523443504996,1,39.5
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H001,16,0.0034980323567993005,0.21718570341220111,5,63.02
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H003,15,0.0033222591362126247,0.10880398671096343,5,50.76
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H004,13,0.0031197504199664025,-0.043204819476510885,5,59.5
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H005,15,0.0037528146109582186,0.030022516887665707,5,48.4
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H006,11,0.0035222542427153377,0.5436866261073752,4,52.81
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H007,9,0.0033100404560500183,0.4734772399354965,5,67.7
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H009,6,0.0023059185242121443,-0.3944218732842869,1,14.0
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,H010,11,0.0026563631972953395,-0.15321044299551898,1,21.5
Dry Cough + Fever + Loss of Taste,H008,4,0.001224739742804654,7.333129210042866,1,56.0
Fatigue + Fever + Headache + Joint Pain + Muscle Pain,H002,2,0.0005448106782892945,-0.1640424952329065,2,13.0
Fatigue + Fever + Headache + Joint Pain + Muscle Pain + Rash,H002,16,0.004358485426314356,0.19422500681013355,5,69.83
Fatigue + Fever + Joint Pain + Muscle Pain,H002,3,0.0008172160174339417,0.5674203214383001,3,36.52
Fatigue + Fever + Joint Pain + Muscle Pain + Rash,H002,4,0.001089621356578589,0.3932625079451557,2,27.8
Fatigue + Fever + Night Sweats + Persistent Cough,H003,19,0.004208194905869324,0.4044850498338869,5,65.63
Fatigue + Fever + Night Sweats + Persistent Cough,H009,12,0.004611837048424289,0.2717140661029976,4,46.15
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H001,10,0.0021862702229995625,0.5800006726985301,5,57.4
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H002,5,0.001362026695723236,-0.34690819940070833,2,17.5
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H003,3,0.000664451827242525,-0.5223613595706619,2,14.5
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H004,8,0.001919846412287017,0.06719462443004559,2,39.02
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H005,8,0.0020015011258443832,0.1771685907287608,3,32.32
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H006,6,0.0019212295869356388,0.2630163304514889,4,36.89
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H007,4,0.001471129091577786,-0.2905479955866127,3,21.0
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H008,7,0.0021432945499081446,0.6203306797305574,4,49.11
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H009,3,0.0011529592621060721,0.2717140661029976,1,17.65
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,H010,5,0.001207437816952427,-0.42264348386058115,4,27.5
Fatigue + Night Sweats + Persistent Cough,H003,6,0.00132890365448505,-0.04472271914132368,1,14.0
Fever + Headache + Joint Pain + Muscle Pain + Nausea,H004,2,0.00047996160307175426,0.06719462443004559,2,15.02
Fever + Headache + Joint Pain + Muscle Pain + Nausea,H005,5,0.0012509382036527395,4.150112584438328,3,52.5
Fever + Headache + Joint Pain + Muscle Pain + Nausea,H010,4,0.0009659502535619416,0.6627867664815261,2,35.88
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H001,3,0.0006558810668998689,-0.4864997813729776,1,9.5
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H002,6,0.0016344320348678834,0.13994205195512743,2,23.2
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H004,10,0.0023998080153587713,0.6418378837385318,5,66.76
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H005,8,0.0020015011258443832,0.2677200207848193,2,45.03
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H007,2,0.000735564545788893,-0.2905479955866127,1,8.0
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H008,6,0.001837109614206981,0.7856705450091854,4,52.57
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H009,2,0.0007686395080707148,-0.470119139123751,1,8.0
