symptom_pattern,hospitals_affected,hospital_coverage,total_anomalous_occurrences,mean_current_prevalence,max_current_prevalence,mean_prevalence_growth,max_prevalence_growth,mean_persistence_weeks,max_persistence_weeks,mean_emergence_score,max_emergence_score,spread_level,cross_hospital_score,alert_level
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,10,1.0,59,0.0016030146591576792,0.0021862702229995625,0.03969639257238164,0.6203306797305574,3.0,5,31.288999999999998,57.4,MULTI-HOSPITAL,52.18,MODERATE
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,8,0.8,27,0.0009790400131483338,0.001362026695723236,0.5255230776059892,2.1792851652574936,1.75,5,35.16125,62.5,MULTI-HOSPITAL,52.06,MODERATE
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,8,0.8,99,0.0034933287464430428,0.00490329610460365,-0.005195020667479658,0.5047235085807682,3.5,5,45.925000000000004,74.64,MULTI-HOSPITAL,51.78,MODERATE
Abdominal Pain + Fever + Loss of Appetite,3,0.3,9,0.0007179224067844992,0.0009659502535619416,1.066896742527756,1.7713112774692101,2.3333333333333335,3,39.86,51.0,LIMITED,50.29,MODERATE
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,4,0.4,9,0.0006064136607844993,0.0009606147934678194,2.1343649366962936,5.315081652257445,1.5,2,40.875,43.0,WIDESPREAD,50.26,MODERATE
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,6,0.6,14,0.0006593955359575692,0.0011033468186833395,0.8255315875109757,2.1925340198602425,1.6666666666666667,2,29.596666666666664,59.5,WIDESPREAD,50.06,MODERATE
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,3,0.3,7,0.0005995922455105843,0.0009185548071034905,2.1061530706650315,3.139534883720931,2.0,3,43.5,49.5,LIMITED,50.05,MODERATE
Fever + Muscle Pain + Nausea + Rash + Vomiting,3,0.3,7,0.0005898828833072822,0.0007244626901714562,3.1584276439721735,5.2354503743057235,1.6666666666666667,2,46.833333333333336,59.5,LIMITED,49.72,MODERATE
Fever + Headache + Joint Pain + Muscle Pain + Nausea,3,0.3,11,0.0008989500200954785,0.0012509382036527395,1.6266979917832998,4.150112584438328,2.3333333333333335,3,34.46666666666667,52.5,LIMITED,48.67,MODERATE
Diarrhoea + Fatigue + Fever + Loss of Appetite,3,0.3,6,0.0005251022004183507,0.000612369871402327,1.0987183364909052,1.134389248860091,1.6666666666666667,2,41.333333333333336,43.0,LIMITED,48.07,MODERATE
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,5,0.5,13,0.0007232545889246256,0.0011033468186833395,0.7759130672888515,2.1925340198602425,2.0,3,31.544,61.0,WIDESPREAD,47.98,MODERATE
Fatigue + Fever + Night Sweats + Persistent Cough,2,0.2,31,0.004410015977146806,0.004611837048424289,0.33809955796844227,0.4044850498338869,4.5,5,55.89,65.63,LIMITED,47.53,MODERATE
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,10,1.0,50,0.0013513158150596186,0.0019676432006996065,-0.11510024788964693,0.42200060542867723,2.3,4,27.208999999999996,46.16,MULTI-HOSPITAL,47.36,MODERATE
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,3,0.3,9,0.0008502038105025014,0.001089621356578589,4.087746998430919,7.359575047670933,2.0,3,34.5,51.0,LIMITED,47.35,MODERATE
Diarrhoea + Fever + Headache + Loss of Appetite,2,0.2,6,0.0006615949071283062,0.0008859357696566999,4.166535320974975,7.279069767441861,2.0,3,44.5,51.0,LIMITED,47.35,MODERATE
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,4,0.4,10,0.0006325840204990463,0.0010007505629221916,1.0147817869379152,3.1665646050214327,1.5,2,30.5325,45.44,WIDESPREAD,47.16,MODERATE
Fever + Muscle Pain + Rash + Retro-orbital Pain,3,0.3,11,0.0008770939869080216,0.0012509382036527395,2.1667460987653477,4.150112584438328,1.6666666666666667,2,36.156666666666666,47.5,LIMITED,46.51,MODERATE
Abdominal Pain + Fever + Headache + Loss of Appetite,3,0.3,10,0.0010160096553652083,0.001224739742804654,2.2220201995063227,5.403167746580273,1.3333333333333333,2,39.29666666666667,47.39,LIMITED,46.12,MODERATE
Fever + Night Sweats + Persistent Cough,5,0.5,30,0.0015105463769500844,0.0022148394241417496,0.49137538021022154,2.449612403100775,2.6,4,35.986000000000004,65.0,WIDESPREAD,46.02,MODERATE
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,8,0.8,23,0.0007901860834679798,0.0011529592621060721,0.37362168630511994,3.1200900675506626,1.625,3,26.77,42.19,MULTI-HOSPITAL,46.0,MODERATE
Diarrhoea + Fever + Vomiting,2,0.2,9,0.0011494419310552042,0.0016344320348678834,1.0109419161226856,2.1348406428766005,2.0,3,39.25,54.0,LIMITED,45.78,MODERATE
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,8,0.8,23,0.0007903959797798811,0.001362026695723236,0.20008613731443747,1.6123672023971667,2.125,4,28.7525,72.5,MULTI-HOSPITAL,45.13,MODERATE
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,7,0.7,42,0.0016153321366923598,0.003202049311559398,0.14951410729678163,0.75418934784929,2.7142857142857144,5,33.598571428571425,72.63,MULTI-HOSPITAL,44.93,MODERATE
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,8,0.8,36,0.0012724632254091156,0.002942258183155572,0.17458761552763885,1.1283560132401618,2.125,5,28.30875,60.33,MULTI-HOSPITAL,44.48,MODERATE
Fever + Headache + Muscle Pain + Rash + Vomiting,3,0.3,8,0.0006077705472998917,0.0007244626901714562,2.780259745432051,5.162002623524268,1.3333333333333333,2,31.060000000000002,43.0,LIMITED,43.65,MODERATE
Fever + Headache + Muscle Pain + Nausea + Rash,3,0.3,6,0.0005560652224607149,0.0006404098623118795,1.4356470048606103,3.1569669162038156,1.3333333333333333,2,30.116666666666664,38.0,LIMITED,43.37,MODERATE
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,2,0.2,67,0.008246434765702386,0.009006755066299724,-0.003914999384100811,0.01591261939605386,5.0,5,55.239999999999995,55.48,LIMITED,42.57,MODERATE
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,5,0.5,16,0.000850318348312698,0.00132890365448505,0.655369739828007,3.239046887009992,1.6,4,26.714,52.22,WIDESPREAD,42.52,MODERATE
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,4,0.4,51,0.003207325372503226,0.004372540445999125,-0.03897451703606353,0.08674475619722148,4.25,5,44.1325,57.43,WIDESPREAD,42.24,MODERATE
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,8,0.8,40,0.001344674825151119,0.0023998080153587713,0.01935783879265083,0.7856705450091854,2.25,5,28.445,66.76,MULTI-HOSPITAL,41.92,MODERATE
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,7,0.7,21,0.0008166622747114808,0.00132890365448505,0.3315717692097898,1.119523443504996,1.5714285714285714,2,26.62857142857143,44.5,MULTI-HOSPITAL,41.91,MODERATE
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,2,0.2,5,0.000612418985816276,0.0007244626901714562,4.177770220928193,5.2354503743057235,1.0,1,38.75,39.5,LIMITED,41.62,MODERATE
Abdominal Pain + Fatigue + Fever + Loss of Appetite,8,0.8,29,0.0010097637918473955,0.0013117621337997377,0.14207971862789842,0.760572178149791,1.875,3,24.14,49.32,MULTI-HOSPITAL,41.58,MODERATE
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,2,0.2,13,0.0016687919109792625,0.002451648052301825,0.5316638091941698,1.6870062653228004,2.5,3,48.5,66.0,LIMITED,41.18,MODERATE
Fever + Muscle Pain + Rash,2,0.2,5,0.0005679213349858115,0.0006558810668998689,1.2519637388344307,2.081001311762134,1.0,1,30.095,39.5,LIMITED,39.03,MODERATE
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,3,0.3,8,0.0008268740608102918,0.0015372790161414297,0.8943409640899169,3.239046887009992,1.3333333333333333,2,20.966666666666665,41.0,LIMITED,38.51,MODERATE
Fever + Headache + Muscle Pain + Rash,4,0.4,9,0.0005624025632484002,0.0007244626901714562,0.5452004368285531,2.1177251871528617,1.25,2,19.925,39.5,WIDESPREAD,33.88,LOW
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,6,0.6,14,0.000617086375262627,0.000735564545788893,0.17911154616670855,1.0697674418604652,1.5,2,20.206666666666667,59.5,WIDESPREAD,33.64,LOW
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,5,0.5,15,0.0007539821217159199,0.001224739742804654,0.06828716123041104,0.5588625935764309,2.4,3,25.398000000000003,46.27,WIDESPREAD,33.59,LOW
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,4,0.4,12,0.0007548467378348867,0.0009606147934678194,0.30945299379366203,0.7075113990880728,2.0,3,23.785,42.23,WIDESPREAD,33.32,LOW
Dry Cough + Fever + Loss of Smell + Loss of Taste,5,0.5,17,0.0009273202651921416,0.001224739742804654,0.14036978173720144,1.119523443504996,1.6,2,26.403999999999996,39.5,WIDESPREAD,32.13,LOW
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,6,0.6,18,0.0008507664194873534,0.0011033468186833395,0.013886992049802876,0.36933391633872625,1.3333333333333333,2,17.048333333333332,29.5,WIDESPREAD,28.73,LOW
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,4,0.4,14,0.0008131217137710775,0.001207437816952427,-0.23231342659803564,0.15471303227883768,1.5,2,14.1725,18.55,WIDESPREAD,22.25,LOW
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,2,0.2,4,0.0005785902748458107,0.000612369871402327,0.1124061865537856,0.3888548683404777,2.0,2,18.835,24.67,LIMITED,21.9,LOW
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,2,0.2,9,0.0011182673924615306,0.001362026695723236,0.1673834376937451,0.17371478543319394,1.0,1,16.77,17.33,LIMITED,18.38,LOW
