symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,hospitals_affected,hospital_coverage,cross_hospital_score,mean_persistence_weeks,mean_prevalence_growth,total_anomalous_occurrences,inference_category,alert_level,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,abnormal_lab_rate,supporting_lab_tests,supporting_imaging_findings,clinical_support_category,combined_surveillance_score,final_interpretation,explanation
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,Unknown,4,0.4,50.26,1.5,2.1344,9,KNOWN_DISEASE_EXPECTED,LOW,57.49,71.88,49.3,41.39,92.37,34.17,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,53.51,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,Unknown,3,0.3,49.72,1.67,3.1584,7,KNOWN_DISEASE_EXPECTED,LOW,57.1,71.8,48.0,41.56,92.18,34.27,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,53.04,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Joint Pain + Muscle Pain + Nausea,D001,Dengue,Unknown,3,0.3,48.67,2.33,1.6267,11,KNOWN_DISEASE_EXPECTED,LOW,57.07,72.47,48.03,40.19,93.15,34.45,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,52.45,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,Unknown,10,1.0,47.36,2.3,-0.1151,50,KNOWN_DISEASE_EXPECTED,LOW,57.15,71.75,49.06,40.56,92.38,33.8,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,51.77,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,D001,Dengue,Unknown,3,0.3,47.35,2.0,4.0877,9,KNOWN_DISEASE_EXPECTED,LOW,56.84,71.88,47.95,40.44,92.35,34.24,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,51.62,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,Unknown,4,0.4,47.16,1.5,1.0148,10,KNOWN_DISEASE_EXPECTED,LOW,56.53,71.45,47.78,40.2,91.81,34.0,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,51.38,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,Unknown,2,0.2,42.57,5.0,-0.0039,67,KNOWN_DISEASE_EXPECTED,LOW,61.88,64.05,63.81,55.66,86.63,23.37,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,51.26,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Fever + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,Unknown,3,0.3,46.51,1.67,2.1667,11,KNOWN_DISEASE_EXPECTED,LOW,56.23,71.99,46.82,39.14,92.35,34.58,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,50.88,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,Unknown,8,0.8,44.48,2.12,0.1746,36,KNOWN_DISEASE_EXPECTED,LOW,58.15,72.28,50.76,41.59,93.09,33.95,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,50.63,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,D001,Dengue,Unknown,7,0.7,44.93,2.71,0.1495,42,KNOWN_DISEASE_EXPECTED,LOW,57.56,72.2,49.41,40.98,92.95,34.03,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,50.61,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,D002,Malaria,Unknown,8,0.8,45.13,2.12,0.2001,23,KNOWN_DISEASE_EXPECTED,LOW,57.25,65.31,65.45,32.93,87.8,24.97,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,50.58,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,D008,Acute Gastroenteritis,Unknown,10,1.0,59.87,3.7,0.0746,97,KNOWN_DISEASE_EXPECTED,LOW,38.88,7.63,71.45,56.06,0.0,27.96,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,WEAK_CLINICAL_SUPPORT,50.42,EPIDEMIOLOGICALLY_STRONG_BUT_CLINICAL_SUPPORT_LIMITED,Clinical evidence supports the A4 surveillance signal because abnormal vital signs provide additional support; supporting imaging findings are present.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,Unknown,8,0.8,51.78,3.5,-0.0052,99,KNOWN_DISEASE_EXPECTED,LOW,47.72,54.29,48.65,34.77,69.36,28.17,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,49.95,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Muscle Pain + Rash + Vomiting,D001,Dengue,Unknown,3,0.3,43.65,1.33,2.7803,8,KNOWN_DISEASE_EXPECTED,LOW,57.09,72.27,48.03,40.62,92.99,34.14,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,49.7,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Muscle Pain + Nausea + Rash,D001,Dengue,Unknown,3,0.3,43.37,1.33,1.4356,6,KNOWN_DISEASE_EXPECTED,LOW,56.93,72.34,47.89,40.03,92.89,34.53,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,49.47,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,D001,Dengue,Unknown,8,0.8,41.92,2.25,0.0194,40,KNOWN_DISEASE_EXPECTED,LOW,57.4,72.51,48.96,40.31,93.24,34.39,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,48.89,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
