symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,inference_category,hospitals_affected,hospital_coverage_pct,total_anomalous_occurrences,mean_prevalence_growth,mean_persistence_weeks,cross_hospital_score,spread_level,known_disease_emerging_score,novelty_score,emergence_evidence_score,disease_inference_signal,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,clinical_support_category,temporal_emergence_score,final_emerging_score,confidence_score,signal_type,final_alert_level,supporting_lab_tests,supporting_imaging_findings,final_explanation
Fever + Headache + Joint Pain + Muscle Pain + Nausea,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,11,1.6266979917832998,2.333333333333333,48.67,LIMITED,48.68,17.96,51.35,29.475,57.07,72.47,48.03,40.19,93.15,MODERATE_CLINICAL_SUPPORT,47.0059808213644,45.64,94.71,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.6/100.
Diarrhoea + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,2,20.0,6,4.166535320974975,2.0,47.35,LIMITED,46.48,16.25,48.21,28.061,46.42,54.77,44.8,33.31,70.4,MODERATE_CLINICAL_SUPPORT,63.71010788493926,45.57,90.47,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.6/100.
Fever + Headache + Muscle Pain + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,8,2.780259745432051,1.3333333333333333,43.65,LIMITED,44.43,16.83,45.7,26.785,57.09,72.27,48.03,40.62,92.99,MODERATE_CLINICAL_SUPPORT,57.43477609057982,45.55,92.3,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.5/100.
Fever + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,11,2.166746098765348,1.6666666666666667,46.51,LIMITED,43.02,18.0,48.26,26.336000000000002,56.23,71.99,46.82,39.14,92.35,MODERATE_CLINICAL_SUPPORT,51.21781353720624,44.84,95.24,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 44.8/100.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,8,80.0,27,0.5255230776059892,1.75,52.06,MULTI-HOSPITAL,47.75,12.32,47.87,28.662,62.17,70.45,62.75,46.59,92.94,STRONG_CLINICAL_SUPPORT,30.15246948353893,44.36,83.96,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.4/100."
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,,KNOWN_DISEASE_EXPECTED,6,60.0,14,0.8255315875109757,1.6666666666666667,50.06,WIDESPREAD,47.47,14.99,49.49,28.684,62.63,72.7,63.2,43.83,93.83,STRONG_CLINICAL_SUPPORT,31.907289115522985,44.23,84.87,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.2/100."
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,3,30.0,7,2.1061530706650315,2.0,50.05,LIMITED,48.64,16.69,50.39,29.359,46.35,54.63,45.0,33.05,69.67,MODERATE_CLINICAL_SUPPORT,50.78573587840688,44.1,97.67,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 44.1/100.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,5,50.0,13,0.7759130672888515,2.0,47.98,WIDESPREAD,43.8,12.59,47.68,26.668,65.65,63.59,75.39,57.65,85.7,STRONG_CLINICAL_SUPPORT,32.85772827819361,44.05,83.92,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.0/100."
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,10,100.0,97,0.0746331540495183,3.7,59.87,MULTI-HOSPITAL,47.81,13.18,57.47,29.652,38.88,7.63,71.45,56.06,0.0,WEAK_CLINICAL_SUPPORT,39.29863746454288,42.95,88.24,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Acute Gastroenteritis. The pattern is observed across multiple hospitals. Clinical evidence is currently limited. Final emerging-signal score: 43.0/100.
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,2,20.0,6,1.6007919366450682,2.5,52.35,LIMITED,49.08,14.31,51.87,29.727,41.18,12.02,72.65,55.9,0.0,MODERATE_CLINICAL_SUPPORT,45.63865360128195,42.56,94.49,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 42.6/100.
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,4,40.0,10,1.0147817869379152,1.5,47.16,WIDESPREAD,47.3,17.46,48.86,28.535999999999998,56.53,71.45,47.78,40.2,91.81,MODERATE_CLINICAL_SUPPORT,32.65117914657716,41.94,88.21,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.9/100.
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,2,20.0,67,-0.0039149993841008,5.0,42.57,LIMITED,29.72,11.53,42.39,19.099,61.88,64.05,63.81,55.66,86.63,STRONG_CLINICAL_SUPPORT,44.4396506252962,41.9,89.57,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 41.9/100."
Abdominal Pain + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,3,30.0,10,2.2220201995063227,1.3333333333333333,46.12,LIMITED,42.54,15.14,46.89,25.959,46.01,54.23,45.25,32.12,69.09,MODERATE_CLINICAL_SUPPORT,49.78753311288104,41.79,97.89,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.8/100.
Fever + Headache + Muscle Pain + Nausea + Rash,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,6,1.4356470048606105,1.3333333333333333,43.37,LIMITED,44.33,16.76,45.39,26.704,56.93,72.34,47.89,40.03,92.89,MODERATE_CLINICAL_SUPPORT,36.35592406895953,41.19,89.75,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.2/100.
